Initial Text,Completed Text
Asian girl wearing a white t-shirt takes,a photo with a quality camera.
A person is walking in the,water with a net.
A girl with blond-hair is holding a bottle and wearing a,blue and green floral bikini on a boat.
A small dog stands in a street,with five vehicles in the background.
"Cowboy riding a bucking horse, while two",guys watch from the gate.
a Starbucks barista offering up,a tray of drinks
A woman wearing a red backpack is sitting,on a rock overlooking the water.
"A man in a suit is walking with a woman in white pants under a umbrella, as",a woman rides a bike holding an umbrella and adjusts her purse.
Three men are jumping,hurdles in a race.
Most people are sitting at tables reading but,one man looks like he's sleeping.
A woman in a black shirt,smiling front of a car
The man in a blue jacket,is standing in a crowd.
A chinese woman has blue rain,boots on and a poncho.
A young girl wearing a pink floral,outfit walks down the sidewalk.
"There is a man, wearing a","yellow shirt, and grimacing."
"Four bargemen on a boat two are repairing something while the other two are standing,",one of the men is wearing a walkie talkie or phone.
A group of pedestrians wait beside a street;,a sheriff's van in the background.
A woman and child are on,their way to play tennis.
Three adolescent boys on,computers in a room.
A vendor on a busy,street is selling food.
"A Caucasian boy in a yellow shirt and brown pants is standing in front of some lockers, next",to a sitting African-American girl in a pink jacket and dark jeans.
Several people walking,upstairs with umbrellas.
An outdoor picnic with lots of water,bottles and barbecue is taking place.
The man is parasailing,and doing a trick.
A girl sits in a harness ready to lift up into the air,"and behind her is a sign that says ""active."""
Male gymnast on,the rings.
People are water,painting their arms.
People in a foyer of a shopping,mall with security guards on duty.
One child is walking,ahead of the other.
An emergency crew caring for a,man with an oxygen mask.
A woman in a purple jacket,sits near a trashcan.
An old man is sitting on a,rock in a courtyard eating.
A deep sea,diver explores wreckage.
A woman is playing tennis while,sitting down in the grass.
A basketball player is,dribbling the ball.
People in a brown boat float down the street,of a city built on water.
An old man is drinking a,bottle of amber liquid.
Two people walk toward,a potato chip truck.
A woman intensely playing tennis,in an all-white outfit.
A white woman wearing headphones and a blue and white striped scarf walks,down the street with two black people walking behind her.
Two men are,working so hard.
"This is the image of an older man, who sitting with",his legs folded near stack of dry grass.
"A person, standing outside, in a green sweater holds a shotgun as",a man wearing ear protection looking at him.
A person is diving,into clear blue water.
Two women walking,in water.
White dog on mountainside turns to face,"something offstage, sky in background."
Several people sitting around,a campfire at night.
A tugboat is parked at the pier,with a house on deck.
A child in a blue jacket,walking on a bench.
A man in a gray coat,and hat playing the violin.
A helmeted boy on a bike flies through the air as he rides,among dirt hills with a river in the background.
A man rests on the side of,the road with his camel.
A girl skateboarding in,red shoes on pavement
A group of kids are sitting around,a room playing a board game.
A group of video cameras recording,from behind a barricade.
A man and a woman walk,down a gray stone walkway.
Two women walking down a busy street talking to each,"other, passing a man in an orange shirt."
A group of people on a bus with colorful,flags wave at the people below.
"A man, woman, and child",share a moped bike.
A woman with a black shirt on,"with stars on it, talking."
A young boy wearing white shorts and a blue,shirt has just kicked a soccer ball.
A man is,falling into waves.
A child wearing pink boots is splashing in,a puddle behind the red truck.
A white dog and a black dog running side by,side on the grass while onlookers watch.
A man in white is cooking pieces of,meat on a large cooking surface.
Women dressed in bright dresses shop,in an outdoor market.
A dog jumps to catch a,ball in a large field.
A girl is holding a bottle of,wine or champagne and smiling.
"A guy with a mustache and a surprised look on his face, is sitting at a desk in front of two computers,",one is a laptop and the other is a desktop he's playing a game on.
A man and a woman wearing masks,embrace at an outdoor festival.
My two friends were working on our roof today and,they just did not know where to start.
A bearded man shows off,what he just cooked.
A young family enjoys an outing on a blanket in a,crowd of other people with the same idea.
Man with shirt hair and,blue tie holding baby.
A man adjusts the,cymbal for a drummer.
A black woman walking,down a street.
A man wearing a,helmet is welding something.
a man and his son,on an interesting skateboard
A group of runners pass volunteers handing out water,along a street littered with used cups.
"Two girls sitting on the sidewalk, one dressed in a pheasant","costume, the other dressed in a tiger costume."
The little boy jumps over another,little boy on the trampoline.
A little girl pushes a merry-go-round in a park,while two other kids hold on. ee
Here is a picture of a two middle easterners walking,on the streets to their favorite stores.
Two men sit at a pier with a pair of,cranes stand in the background near a building.
"Looking down from the top of a cliff, a man is climbing the cliff",wall in an attempt to make it to the top.
A group poses for a picture in,front of a frozen waterfall.
A lady posing while,holding an umbrella.
A big thin dog runs fast,in a field of grass.
A bird with a long,orange bill drinks water.
The singer that is on-stage is,entertaining an enthusiastic crowd.
An older man is seen carrying a basket of what,some kind of paper over his shoulder.
A man in a white t-shirt painting in the,middle of a stone paved road.
A child wearing yellow,is cleaning the floor.
A woman carries a,basket on her head.
Asian man resting against something in,front of a street vendor
A mark up artist,is powdering a female.
A athlete runs across the racing,lanes on a track.
A group of men play,hockey in a stadium.
"A ""rock star"" performing a concert in",front of a live audience.
Two brown dogs running,in a grassy field.
People browse in,a store.
Two men are sitting on a pile of fishing nets on a,dock next to an elaborately designed fishing vessel.
"Three girls in blue, one doing a handstand and the splits on",a basketball court with people in the background.
"A band plays music on stage under blue-green lights and with a red background,",a white-shirted DJ standing in the middle of the stage.
A child stands ready,with a baseball mitt.
Two men working together,to carve ice sculpture.
"A cook in a restaurant wearing a colorful hat, standing in front of a lamb rotisserie, squeezes a sauce",onto food wrapped in foil while another man watches with his back turned.
A group of speed skaters making a turn,with a blue advertisement behind them.
A man wearing a green bandanna around his,face works on a yellow machine.
Person standing on stage with,fireworks shooting behind them.
Two old men sit at the foot,of a tree by the water.
A man with a camera and another man with a,baby stroller stand in a fenced walkway.
A girl in a cape along,with other costumed children
Two young women wearing white tennis shirts are touching hands but not making,eye-contact while a man in the behind them walks by.
A man with no shirt stands holding,wire in a half built house.
A couple at,an amusement park.
two males fighting with an,ax at a show.
A man in red shorts jumps,behind a volleyball net.
The group of people are all wearing,orange vests walking towards the building.
People working on a rustic house with,piles of sand and red bricks.
A man prays in front,of a Buddha statue.
A little boy is watching,fireworks outside at night.
A woman stands in front of,a mountain in the winter.
A picture of Jim who wears,glasses in a lab coat.
People sitting and walking along the,street of a city.
"An older white-haired woman in a blue jacket, brown boots, with a ring on her finger looks at",samples of a drink next to a sign in a different language.
"This person is doing a stunt on a bicycle, with one wheel",on a ledge and one in the air.
"Three women, two guitarists and a keyboardist,",are on a stage performing music.
It looks as though the player in burgundy just,kicked the soccer ball over# 5's head.
A woman is looking both ways before she,crosses the road with her bike.
A dog chases a,deer into the woods.
A man is hosing off,a piece of machinery.
Two people are performing,a synchronized swimming routine.
A woman in a white tank top,balancing bags on her head.
Woman in black,washing windows.
A group of women and a group of men,are standing slightly apart and singing.
Three dogs run away from a patch of non-grassy,surface leaving one another dog behind.
"A man in a jacket, hat, and jeans is holding",a newspaper as he walks on the street.
A man in sunglasses puts his arm around a,woman in a black and white blouse.
many men sitting and standing,in a bust street
Couples gathered in a,Brick building descending stairs.
Two friends holding hands as the walk,the streets of a city.
An old lady is handing a piece of bread to another old lady,while an old man is watching with a smile.
A man enjoys,some extravagant artwork.
A woman in jeans and a black jacket standing on the road,in front of a white and red bus.
A lady in blue jeans and a brown jacket,is walking down a city street.
A girl is wear,a green dress.
A race car is,speeding along the racetrack.
A person in black walking on,the sidewalk between two buildings.
The man on the board uses the wave,to jump high into the air.
A man is dislodging dirt and,rocks from his bulldozer.
"In an aquarium, a blond girl drinks from a fast",food cup as a dolphin swims by.
Two girls wearing,the same shirt.
A man with a white hat,is sweeping a parking lot.
The lady is posing for a,picture by the water.
"A young girl in Red and pink, with braided hair dances and",smiles among the pigeons outdoors in the open area.
A baseman catches a baseball while a runner slides to,touch the base during a game of baseball.
Older woman selling food,on the street.
a young woman jumping,to a beam
"Two men in black, one is holding a drum standing behind a woman with a mask dressed in white",with red patterned undergarments towards the bottom and a fan that matches the undergarments.
Micky Mouse still brings smiles to even the smallest of his,fans like this young man in the highchair.
A surfer catching a big,wave in the ocean.
An African American man plays,music in a band.
There is a horse and rider,jumping over a hurdle.
Three children are sorting our a,large quantity of green apples.
An Asian chef wearing white is,cutting meat in a restaurant.
A teenage boy stands in a backyard,holding a tray of bread.
A motorcyclist in yellow and,white rides his bike.
A woman in a white jacket talks to,a man in a gray jacket.
a man in a vehicle,behind a family crowd
A tiger striped pitbull jumps over,a black and brown dog.
A baby is looking into a drawer filled with objects,made of plastic and some of terrycloth.
A young man is carrying a woman in a,red bathing suit over his shoulder.
A woman in a scarf is glaring at the,camera with two people in the background.
A woman in a black coat in an elementary school classroom is,attending to a young girl sitting at her desk.
A child in winter gear is posing while a crowd,of people sit and stand behind her.
Two women and a man are wearing medieval blue and gold robes,and red hats are playing wind and brass instruments.
A man in a black shirt and sunglasses is holding an,axe next to a bust of daffy duck.
warm up for,football game.
A dog runs down a trail with,a stick in his mouth.
A firefighter is putting wooden blocks,under a crushed blue car.
Passing pedestrians look up at people,on green metal balconies.
Various people sitting and,talking in a room.
A man with a black hat is looking pensively,out the window of public transportation.
A long-haired woman leans on a stone,"railing, looking out at the sea."
A man in a laboratory coat looking,into the lenses of a microscope.
Two guys are playing their musical instruments as they sit on a small ledge on a sidewalk near a,building with a painting of a large sleeveless guy with his arms akimbo.
A shirtless man running,on a boat dock.
The little girl dances with,a Blues Brothers impersonator.
A child is eating something very close to the camera while,other children sit at a table behind him.
Man throwing an object into,a body of water.
A man and a woman are walking on a street in front,of a statue of a man on a horse.
A child in a life jacket jumps into the pool,with the help of a man in goggles.
A girl in pink runs away from,a wave coming onto the shore.
A crowd of Asian people are,walking on a busy street.
A woman is sitting on a,bench looking at her phone.
"A lady in black pants, white t-shirt with red writing across breast, doing a stretch exercise on top",of a concrete sphere with a 18th century building surrounding the sphere.
a young skateboarder jumping a,trick in the air.
A girl in a pink bikini is jumping off,a diving board into a swimming pool.
Many people are jogging along the,street by a green fence.
Two puppies play with a red,chew toy in a field.
Women of African origin are colecting water at,"common water tap, near wire fence."
Many surfers are sitting on their,surfboards in the calm ocean.
A person guarding,a hockey goal.
One boy is trying to kiss another,in a school lunch room.
Three Japanese men fishing,from wooden boat.
About 12 kids and a few adults,get splashed by an off-camera source.
a person in a blue tracksuit carrying a package,is standing on a snowy mountain
A smiling man checks his,net on the boat.
A woman playing the keyboard and singing,awash in a blue light.
A girl underwater in a pool with her eyes,closed plugging her nose with one hand.
A crowd of Hindu,women in headwraps.
"two dogs, playing in a field,",wrestling with each other
"A large gathering of people, one with a man standing n a white shirt and blue shorts holding a bike and beside him",is a woman digging shoes out of her white bag that is down by her feet.
A nicely dressed man is walking in,front of a Heal's store.
a lone climber on,a snowy moutainside.
A young boy is,holding a book.
A man has his face in his hand,and is sitting on a bench.
The backs of a,woman and a dog.
A little boy in a blue jacket,plays with a green hula hoop.
A woman wearing,a pearl necklace.
Four Caucasian people including a man with a ponytail and glasses and,"man smoking cigar, stand outside a crowded festive pub."
A man is preparing to,throw a bowling ball.
Many people are on the beach,next to palm trees.
A parking lot with a,bicyclist riding through it.
Three young women,are playing softball.
"Two woman, both of which are","wearing black shirts, are eating."
A duck standing on a sidewalk with an Asian woman,and her two sons walking towards it.
A woman is looking at her shopping,list inside a grocery store.
A basketball game where a member of one team is dunking,a basketball while the other team looks on.
A black woman at,a pizza restaurant.
A group of men gather on,the stairs for a photo-op.
A group of people lock arms in a line,while others in the background watch.
A shirtless man in front of,a weathered brick wall outside.
An old man with arms outstretched sits against a wooden,wall between a woman and another man.
Two people sitting on a kayak in calm,water looking at a marvelous sunset.
The woman in glasses is,wearing a black headdress.
A man with a coat is walking,in front of a mural.
Rock band performing on,a dark stage.
"A man wearing jeans and a hooded, long-sleeved top,","and a backpack, walks in a desert."
A street with a store that has a sign,"outside of it reading ""Bleecker Street Records""."
Man with duffel bag sitting,on a concrete curb.
Two men in matching t-shirts are,looking under a car hood.
"Two women, having drinks, are sitting down",and talking inside a house.
These young ladies with one little girl are at a flea market,"purchasing items, while others are walking and looking around."
Some Asian men are sitting while,others are standing around.
"A woman in ethnic attire is kneeling on the ground,",arching her back in a dance position.
A man is,butchering some fish.
"Two men, both wearing black shirts",are clearing out a yard.
A young man looking at the sky through,a personal telescope in the evening.
The girl has a black purse and is sitting,on the side of a ledge.
A band performs in,a dimly lit setting.
A little boy in a red shirt,is swinging at a pinata.
Workers in a company cutting plastic,for a waiting customer.
The baby is smiling whilst sitting in a highchair,with a red white and blue toy.
A baseball catcher trying to tag a,base runner in a baseball game.
A man plays fetch with his big black,dog just out of the woods.
A woman in a white t-shirt and gold necklace,cleaning a rail with a yellow towel.
A man is sitting in a grassy field,with a green umbrella behind him.
A man standing on a table,filming with people surrounding him.
An elderly Asian man,plays an instrument.
The man is installing tile,on the bathroom wall.
A very busy city street at night with,bicyclists and taxis in the road.
A young child with his,face in his plate.
Actors and actresses on a,"stage, performing an act."
Three men are watching the man,in the cherry picker.
Two grocery store employees,talk at a checkstand.
Some people are gathered in front of a building,with posters strung up on the walls.
One women in a blue top with blond-hair smiles as she sits,among a large group of adults inside a building.
A young lady appearing to be,in route to do laundry.
the shadows of what appears to be two men grabbing,another man from atop a large building
A muzzled greyhound dog is,running around a track.
Group of people wearing white shirts and,black pants dancing on a stage.
A woman laying down in front of the doors to,"a grungy, yellow, red and green colored building."
A black and white dog is,sliding down a sandy hill.
crying baby in a blue,shirt and white pants.
"A man in a neon shirt, khakis, and an orange",hard hat walks by a mulch machine.
A young man is on top of an industrial structure,where his friends are looking at him.
A small brown dog jumps and,catches a tennis ball
a man inn a blue cap,messing with a camera.
A young woman in a black shirt is taking an elevator down with,"her luggage, and is gazing back in a distressed way."
A dog wearing a coat plays with,a toy on fake grass.
a kid doing tricks on a,skateboard on a bridge
A woman in a blue dress is standing,with her hand on her hip.
Five women are practicing bow,and arrow skills indoors.
Two women talk while standing,underneath a white tent.
A man soaking in a tiny bathtub in a bathroom,illuminated by a candle in a wine bottle.
Two women and a man are all,wearing black jackets and smiling.
A mother lying on a blue blanket plays affectionately,on the floor with her toddler son.
People use their hands and arms to create a tunnel for,a man in white shorts to scurry through.
Cyclist teams on their bicycles and dressed in team,uniforms are awaiting start of race.
"A performer wearing stilts, which are covered by her","white pants, is walking in a parade."
Two women smile cheerfully,at the viewer.
A young girl shows her friends how,to use a disposable camera.
Young people wearing blue,gloves using syringes.
The legs of a,man sweeping a sidewalk.
A street performer out on a street is singing,with a microphone in his hand.
A white dog swims in the water while holding,a red object in its mouth.
A man holding an umbrella stands on,the side of a street.
"People are playing a game of ball in the pool, one swimmer is",trying to throw the yellow ball into the goal.
A woman sites on a stone bench,while reading a blue book.
Our little model is wearing the colors,for Spring white and pink.
The black dog in front of the tree has,a green toy in its mouth.
A shaggy dog hangs its paws out,of a light turquoise window.
A kayaker wearing a blue wetsuit and black helmet paddles,his yellow kayak in murky rolling rapids.
A child spins a sparkler,leaving a light trail.
A young girl in pink is,happily playing with a doll.
A child carrying something in their shirt walks,in the rain on the street.
A man cuts wood in front,of a stone bridge.
a lone person in a harness,climbing a huge rock.
two girls cleaning and one,girl acting a fool.
Two men handing out,free bibles to people
One man holds another man's head down and prepares,to punch him in the face.
Three people on a rocky cliff,over a body of water.
A silhouette of a lady looking down with long hair,"surrounded by yellow, blue, and orange bright lights."
A bearded man dressed as an old-time,"soldier, complete with old time weapons."
Two men in suspenders,talking to a woman.
A gentleman is walking,along playing the bagpipes.
A woman and man sitting,on a stone wall.
A small black girl,in a bathing suit
Two children sit on the ground eating rice while,looking up and smiling at the camera.
A woman is taking a photograph,with a canon camera
This biker takes a break in the shade,next to a bright red wall.
"A man sits down on a chair,",checking his phone while relaxing.
"A young boy, wearing goggles and a heads-up light,","and a young girl, are smiling."
A group of people admire a Lincoln,car during a car show.
Children playing in,a stream.
Two men are,playing chess.
A skier in a bright,green jacket sliding downhill.
A man is having a walk,with his dog during sunset.
Chubby redhead child,reads birthday card.
A man does a flip,trick on his bicycle.
Two people on a boat,looking at the sunset.
A young man is,sitting in the sunshine.
Two guys in,front of microphones.
A group of girls walking and talking along the,beach with a building in the background.
Two elderly woman view the contents,of an ice cream cart.
A group of people are,lined up inside waiting.
man helping women with,laptop in classroom.
A skateboarder is doing a kick,flip across a concrete gap.
Two people are sitting down across,the street from advertisements.
A dog rolling around,in the grass.
Two workmen with a wheelbarrow for mixing,cement for building a stone wall.
Men are standing around looking at a,red and white race car.
"A woman in the foreground plays a red violin, in",front of a woman in glasses playing oboe.
Some kids at a,table doing work.
Two girls at an overlook in a wooded area,looking towards a mountain in the distance.
A little girl is creeping behind two ducks at the,top of a cliff overlooking the ocean.
Father teaches her daughter to cook,on a camping trip.
A guy with sunglasses is sitting on,a boat ferry in the sun.
Several people are talking,in a crowded street.
A crowd watches an,unusual light show.
A S.C.U.B.A. diver swims,in deep blue water.
Two girls who are playing dress-up hamming,it up for the camera.
Three women in,dresses dancing.
Several women sitting in chairs in front,of a wall of mirrors.
Two cowboys on horseback lasso a,young calf to the ground.
A man in a black shirt prepares to,perform in front of a microphone.
A man is taking a picture,at a golf course.
An ethnic man sits,before a deteriorating wall.
A man with two large bags is sitting in the middle of a,long staircase eating from a small bowl of food.
A man is,singing in church.
People are sitting,together and smiling.
A boy with a,broken arm is sleeping.
"A woman in a long sweater and jeans,","is running away, down a path."
"Young man with red stains on face, with","two women, posing in black clothing."
A very buff man is climbing a very,steep mountain with his bare hands.
"Two young, white boys, are running from",the beach into the ocean.
A woman in a black and white checkered shirt is coloring in,a coloring book with a little blond girl.
"Two people, one with a white head covering, sit",in the sand under a tree.
A man wearing brown is outside,next to a bicycle
Girl in black pants,climbing smooth rock.
A large gray and white bird,begins to take flight.
The girl in a dress is,jumping in the air outside.
A child is walking through a,puddle wearing green sandals
People are running on a,street in the cold.
A group of people are,"gathered, watching a television."
"There is a woman and a man, both wearing red aprons and standing behind a counter",full of exotic looking food that they are ready to serve.
"Two little girls, one in green and","one in purple, reading a book."
A male saxophone player belts out a song in,the dim light of a local establishment.
A crowd of people standing next,to a seafood stand.
Profile of bride and,groom cutting wedding cake.
A young toddler smiling at the camera,while standing in the garden.
A woman with a box of candy standing with a,man who is holding some of the candy.
Children in white and blue uniforms are sitting at,their red desks in their green classroom.
"Two people, one in a green shirt and one in","a red shirt, go down a water slide."
A little boy is playing with,sand at the beach.
A man in black clothes standing on what,appears to be a black locomotive.
A busy town with people in a rush to,get where they need to be.
Redhead in all,white holding balls.
A man and a woman are standing,next to old houses and water.
Three people are looking at a,large pile of stones.
Two guards in blue uniform talk to,ladies in black dress and hat.
A person wearing orange,getting on a bicycle.
A man is walking in front of an older,home without any paint on it
Labors are cleaning,the car.
"A runner dressed in red, white,",and blue is running.
Woman with long hair walking in a,field of grass and goldenrod.
Two older men outside loading or unloading a,trailer full of giant white cylinders.
A crowd,of children.
A man sitting against,a pillar selling hats.
3 men wearing black,attire are reading.
Woman and kids having,picnic in a park.
A girl is writing on her,journal on a picnic cloth.
A farmers market on the side of the street selling fruits,as a bus passes on the road beside.
Two men wearing vests,doing martial arts.
A woman in a white top and a young girl in a pink top are shown at a meal in an,"Asian McDonalds, with the woman smiling and gesturing with a finger for the camera."
Two people with hats looking at a lake,while sitting on a yellow-grassed hill.
Cyclist biking down,a concrete stairway.
"Girls in matching outfits, one holding inflatable","toy, outside of ODEON building."
A man in a brown hat is,standing up in a group.
Where are these,people going?
A crowd of people outside the,Beachcomber bar and grill.
A man in a purple had climbs,a rocky wall with his hands.
A young boy helping,a girl stretch.
A big tan dog runs on grass with,a big stick in his mouth.
Little girl holding,a karate trophy.
A baby in a life,jacket on a raft.
A music venue with an awesome light show,and three band members playing instruments.
A guy sitting on the side of a building holding some kind of,object with a couple things hanging around his neck.
"A table of computer laptops and their users, in",the background are people without computers.
A black dog in tall grass with,a bird in its mouth.
A young boy jumping off,of a playground toy.
"A young woman wearing a blue shirt and goggles is in a lab, looking at a",laboratory experiment with glass tubes and yellow hose in a plastic container.
A photo shoot,of two women.
"Two boys, one black and one","white, standing arm in arm."
A man in a blue jacket and gloves is,standing in the street among other people.
A shaggy-haired man in glasses holds an acoustic guitar while holding a kazoo,in his mouth as he sits in a chair.
A woman putts a ball that has,water flying off of it.
A person in a wheelchair rides next to a large,mural on the side of a building.
Clothes swaying in,the wind.
A little girl wearing a pink helmet is,playing with a 3 wheeled scooter.
A black dog chewing,on a red leash.
Many people are seated in,a well decorated hall.
A man in a reversed blue baseball cap moves filing cabinets,in a classroom that is decorated with butterflies.
"A man holding a large brown bag stands in front of an entryway,",by a large advertisement featuring a child wearing headphones.
Two men standing in front of,an amusement park ride
A woman is standing at a bus,stop on a fairly quiet street.
A basketball player jumps up with the,ball as two others watch.
A woman is getting her dog,to jump in the air.
A boat suspended by a,cable over the water.
A worker fills a glass with,beer for the lady.
A man in black shorts is,sliding on a tarp.
A man wearing a green jacket and,ear protection stands on the street.
Baseball players playing a,game at the park.
A young child dressed in snowpants and blue,hat tentatively steps on snow-covered ice.
Two workers weld the bars of a,fence near a busy suburban street.
A woman is mountain climbing with,a light blue shirt on.
A guy is pointing with a,girl sitting beside him.
A bride and groom having their pictures taken,at the top of the stairs.
An artist paints a picture in a outdoor public area while several,"men sitting on benches chat, read and eat."
A man reads a,book on the subway.
An Asian man reading,book and taking notes.
A man in a suit passing,by a record shop.
"Guy in a hat, he is",cleaning out an empty pool.
A large crowd of people are waiting,in a line in the dark.
Several people are marching and one is,holding a menorah as he marches.
A white and brown dog licks,his lips during winter.
An old man with blond-hair in a blue shirt,and brown hat is playing an accordion.
"A person, in a kitchen, is holding an egg on",top of a bowl with rice in it.
Many women sitting with their goods for,sale in a large produce marketplace.
A girl is sitting on the,ground talking on a phone.
A man in a hat and a woman in a green shirt and,blue vest sit at a restaurant table reading the menu.
Boy in large green shirt carrying a blue shovel walks,towards the camera with an ocean behind him.
The white dog is hard to see in,the snow as it runs payfully.
A man in a pink and white pinstriped shirt and brown,vest with a colorful design playing a clarinet.
"Young couple pose for camera in formal wear,",older man and woman in background.
A young man using a leaf blower to clean,the fall season leaves from the area.
Young man surfing,in the ocean.
Two men riding the train,look out the window
Man standing in the foreground with taxi behind with lights on and buildings,in the background and light filtering down from above.
Young children and adults walk around platform,9 next to the train.
A group of men converse,over a potential problem.
A woman in a red dress and hat holds a chain attached to handcuffs on another,"woman who is dressed in an apron, pinafore, and fright wig."
A little girl is standing,outside on a blanket.
A man is riding a bicycle,on a dirt path.
A dog chases another,by a tree.
Man rides a bicycle in a nearly empty courtyard,in front of a large building.
2 people that look like army,men are using a gun.
A tan man working on a,sand castle on the beach.
A plump woman with a pink shirt and black hair,is applying red lipstick to her lips.
A man in an orange vest and a,cap stands outside a ladies' bathroom.
A man working on a steam engine with,a water tower in the background.
Two little girls wearing bathing suits,and holding water pistols.
A woman in a red shirt is,standing inside next to a table.
Two guys with red capes ride,bikes down the street.
A woman in a jeans skirt and t-shirt looking,at a magazine display on the street.
Three casually dressed men,in a yard smiling.
Someone is parasailing on a,blue and yellow parasail.
A skier about to,go down the mountain.
"There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a","redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle."
Two men converse,along the sidewalk.
A policeman watches a crowd of Prop,16 protesters march down the street.
Man standing on car grabbing his crotch,with a group of protesters.
Two men playing soccer,in a grassy field.
A baby in blue laying on a,green blanket shows their emotions.
"A woman is singing and playing an guitar,",dressed in a very glittery dress.
Two people standing with,bags on a sidewalk.
two young children RIF=ding,sleds down the snow.
A person wearing full biker gear is riding,a BMX bike over hilly terrain.
A white spotted dog plays with a,brown dog on the green grass.
A person on the horse in a large body,of water with a car behind it.
Two people walking,outside a castle.
A woman with a black purse sitting,in front of crystal clear water.
A man in a turban walking behind,someone in a pink shirt.
An beautiful Asian-looking woman wearing a dress is holding a microphone singing as,she holds a dark colored feather boa at her chest.
A man in a black shirt,and cap playing piano.
A guy is being kissed on the cheeks by,two girls in front of a lighthouse.
Five people celebrate victory by opening a,bottle of champagne before photographers.
An African dressmaker puts the finishing touches on,a garment while two women watch.
"A long-haired brunette in a black long-sleeved top, pants and a long blue",scarf stands reading a magazine in a waiting room.
An older woman looking at,herself through a mirror.
The white truck is stuck,on the large rocks.
Two men standing on a tree near,a large body of water.
A smiling young child,is wearing a costume.
A brown and white dog with a pink Frisbee in its mouth leaps through the,air next to a young man in a knit cap.
Child in white,jumping on bed
A man cracks eggs,while a woman watches.
Three young adults building a large,sand castle at the beach.
A young boy paddling in a body of water on,a small floating vessel near the shoreline.
A man sits and rest his head on his hand,next to a couple of other people.
A girl is brushing her teeth next to,an infant on a white couch.
Three dogs run around,in the snow.
People are walking by a bright,carousel; some people are sitting.
Two little girls are eating,and making a mess.
A sleeping woman holding,a sleeping dog.
Girls with dark eyeliner,protesting in a group.
A small child uses a grinding,machine while wearing safety glasses.
Blond lady with apron inquires about,fish at the market
Long-haired bearded man playing the guitar in,front of an American flag.
Two people riding,a motorcycle.
"cyclists lean into a turn, behind them is a barricade and",behind that are people watching the cycling race.
Two girls in a store looking,at Ken and Barbie dolls.
"A man in a blue jacket sits alone at a bare,",pine table in front of a flower market.
A man looking through a microscope while,working on a circuit board.
"A young woman wearing a short black and white skirt and no shoes, carrying a toddler wearing a red outfit and",a hat while walking into deeper water from the shallow water on a beach.
Two motorcycles with,two riders each.
Two females playing lacrosse,on opposite teams.
"Men standing in a sand covered park, in",front of a big white house.
A group of,cyclists discuss directions
A man laying in the,grass under a tree.
Four bikes are standing up and a man,is standing next to a building.
Two people are walking down a,city street approaching a pagoda.
The skateboarder in the white shirt balances on the ledge,as the others look on in the background.
A woman uses a cultivation tool to,tend to crops in a field.
Hockey players awaiting,a face-off.
"Three women with headscarfs holding packages,","two smiling, one not."
Three cowboys grabbing a bull by,the horns and wrestling it.
