index,Xi,Xj,model
36,A boy looks up,at the sky full of stars,qwen2.5:latest
37,A person guarding,a fort against invaders,qwen2.5:latest
38,There is one individual in this image with a hard hat om and,wearing safety goggles.,qwen2.5:latest
39,The back of a young boy who is wearing,wearing a blue shirt was visible through the fence.,qwen2.5:latest
40,"Several people in white shirts and ties are looking out of a window,",at the bustling city below.,qwen2.5:latest
41,People walking around a dirt covered lot with a white,People walking around a dirt-covered lot with a white tent.,qwen2.5:latest
42,"A person in red is lying on a bench in a park,",because they seemed to be taking a rest after a long walk.,qwen2.5:latest
43,A person cuts paper in front of,a audience,qwen2.5:latest
44,A lady in blue long shorts and carrying a bag is glancing,at her phone while walking down the street.,qwen2.5:latest
45,A young male is sitting on a,park bench observing his surroundings,qwen2.5:latest
46,A man in a white shirt is walking a,dog through the park.,qwen2.5:latest
47,George Bush standing,in front of a microphone addressed the nation about,qwen2.5:latest
48,A group of,A group of friends went on a adventure to explore the jungle.,qwen2.5:latest
49,Three men sitting on a couch and eating food,watched the football game together,qwen2.5:latest
50,One person jumping his bike towards the camera while another one in the,background is assisting with setting up a stunt.,qwen2.5:latest
51,A boat selling along side,was moored next to it,qwen2.5:latest
52,A,nswer was obvious to everyone.,qwen2.5:latest
53,Two racing dogs round a turn,and their fur flies behind them,qwen2.5:latest
54,A man in white and red with sunglasses carrying,a large umbrella passed by the crowd,qwen2.5:latest
55,Young people stand underneath,the stars to make wishes on.,qwen2.5:latest
56,A man demonstrating how high his,he can jump.,qwen2.5:latest
57,A man in a blue shirt places,a cup on the table,qwen2.5:latest
58,skier in red pants,was leading the race,qwen2.5:latest
59,"Men, woman and children gathering around",to share stories under the stars.,qwen2.5:latest
60,There is a dog,barking loudly in the backyard,qwen2.5:latest
61,A woman lays her head down on a pillow,and falls asleep.,qwen2.5:latest
62,Three people take a lift up the mountain in,Three people take a lift up the mountain in hopes of reaching the summit before sunset.,qwen2.5:latest
63,A woman with a black shirt on,was walking confidently through the market,qwen2.5:latest
64,A girl in a white dress,walked down the aisle,qwen2.5:latest
65,A man paddles on,a calm lake at dawn.,qwen2.5:latest
66,A skateboarder does a tailslide down the side,of a rail at the skatepark.,qwen2.5:latest
67,a soldier crouches next to his armored,vehicle waiting for orders,qwen2.5:latest
68,Two women and a man are,standing in front of a large cake.,qwen2.5:latest
69,a young topless man wearing sunglasses and,a beach towel walked by,qwen2.5:latest
70,A woman in a puffy red jacket poses for,a photo by the snowy lake,qwen2.5:latest
71,A young man is taking pictures of,the sunset over the ocean,qwen2.5:latest
72,A man gestures while facing a woman wearing glasses as they sit,at a café table.,qwen2.5:latest
73,A man in the library is reading,a quiet book on a dimly lit bench,qwen2.5:latest
74,A dog on snow has,a much easier time moving around.,qwen2.5:latest
75,A soccer player is,determined to score a goal for his team,qwen2.5:latest
76,An Asian woman in black clothing is,standing confidently in front of a bustling market,qwen2.5:latest
77,A dog catches a colored ball,and runs back to its owner,qwen2.5:latest
78,A man dressed in dark colors and a hat plays,in the rain without an umbrella.,qwen2.5:latest
79,Two women look at a group,of people standing by the fountain.,qwen2.5:latest
80,People sitting at,the café were enjoying their coffee and pastries.,qwen2.5:latest
81,Two wrestlers and,Two wrestlers and their intense rivalry clashed on the mat.,qwen2.5:latest
82,A white and tan dog runs,through the grassy field chasing a butterfly.,qwen2.5:latest
83,Four men sit on the found in,park bench,qwen2.5:latest
84,A small group of people walk,through the quiet park at dusk.,qwen2.5:latest
85,"An elderly train conductor, dressed in black",rode slowly through the quiet countryside.,qwen2.5:latest
86,A Young African American boy wearing a blue baseball cap gazes through a,window,qwen2.5:latest
87,People pass each other on a busy city,street without stopping.,qwen2.5:latest
88,A skier in mid-jump doing a twist,on the slopes,qwen2.5:latest
89,Three Amish women are,living simple lives in a tight-knit community.,qwen2.5:latest
90,"A white double horned goat standing on a platform looking at two young boys, one in",a blue shirt and another in a green shirt.,qwen2.5:latest
91,Four people are sitting on a rock,at the edge of a cliff overlooking the sea.,qwen2.5:latest
92,A white woman is giving a,speech on civil rights issues.,qwen2.5:latest
93,The black and white dog leaps,over the green grass,qwen2.5:latest
94,Children are playing,in the park joyfully,qwen2.5:latest
95,"Five boys, three wearing","were wearing red shirts, while the other two wore blue.",qwen2.5:latest
96,Young pretty blond women holding a tennis racket dressed,in a white dress pose confidently on a tennis court.,qwen2.5:latest
97,A man sitting alone in meditation,practiced deep concentration and inner peace.,qwen2.5:latest
98,A man and a woman wearing coats are facing standing outside facing,each other in the snow,qwen2.5:latest
99,A girl is pointing to a spot,in the distance where something interesting is located,qwen2.5:latest
100,The soccer player wearing the gold jersey is blocking,the opposing team's forward to prevent a goal attempt,qwen2.5:latest
101,A celebration with,A celebration with fireworks usually marks the end of a successful event.,qwen2.5:latest
102,A hiker walks on rocky ground at,high elevation,qwen2.5:latest
103,Young boy wearing denim shorts,was playing in the park,qwen2.5:latest
104,A boy playing with,a ball in the park,qwen2.5:latest
105,Several people on horses are all in,charging towards a group of soldiers,qwen2.5:latest
106,The person in yellow,wore a bright costume for the parade.,qwen2.5:latest
107,A crowd scene with people in,A crowd scene with people in various costumes during a festival parade,qwen2.5:latest
108,Man with cane sits next to,a disabled veteran纪念碑前,qwen2.5:latest
109,Large brown dog playing with a,toy in the park,qwen2.5:latest
110,"A bookstore named ""Shakespeare and Company"" has several persons",working there regularly.,qwen2.5:latest
111,Workers walk along railroad,tracks towards their destination,qwen2.5:latest
112,The young man leaning against a brick wall with a bag of,The young man leaning against a brick wall with a bag of groceries looked lost in thought.,qwen2.5:latest
113,A couple walking along side a,the lake enjoyed the peaceful evening,qwen2.5:latest
114,A man wearing a white shirt and dark pants is standing at the railing,looking out over the ocean.,qwen2.5:latest
115,a man wearing a yellow bike helmet walking,down the street,qwen2.5:latest
116,"A man wearing white pants,",stood by the swimming pool watching others swim.,qwen2.5:latest
117,A boy standing in the foreground looking out,at the vast ocean beyond,qwen2.5:latest
118,A man and a woman are running and,A man and a woman are running and trying to catch the bus.,qwen2.5:latest
119,A man in blue jeans and a dark green shirt,was walking down the street,qwen2.5:latest
120,Three baseball players in the,field were trying to catch the fly ball,qwen2.5:latest
121,A baseball player is swinging at a,pitched ball,qwen2.5:latest
122,A little Asian,girl wore a traditional blouse and skirt.,qwen2.5:latest
123,A man selling ice,crèmes on the street corner shouted loudly to attract customers.,qwen2.5:latest
124,A group of young girls are competing in a basketball,game against each other.,qwen2.5:latest
125,A woman is dressed up with forks,in her hair as a playful accessory.,qwen2.5:latest
126,"A man, a woman, and a",dog went on an adventure together.,qwen2.5:latest
127,A group of people jump into,the water for a swimming competition,qwen2.5:latest
128,"A young couple, both blond, female in red plaid jacket, carrying a designer",bag walked hand-in-hand through the market.,qwen2.5:latest
129,Two men riding on a motorbike,rode through the bustling city streets,qwen2.5:latest
130,A baseball player is,hit by a pitch,qwen2.5:latest
131,Kids jumping into,the pool caused a splashocalypse,qwen2.5:latest
132,A man in a hat and a woman in a green shirt and,were walking hand in hand through the park.,qwen2.5:latest
133,Two women walk down the street,holding hands in silence,qwen2.5:latest
134,A young boy playing,in the park enjoyed the sunny day,qwen2.5:latest
135,Back of man's head,was all she could see as she walked past him.,qwen2.5:latest
136,A child in a blue jacket,was playing in the park.,qwen2.5:latest
137,A juggler in plaid,wore a colorful hat while performing.,qwen2.5:latest
138,A little girl in a pink bathing suit jumps up,and down on the sandy beach.,qwen2.5:latest
139,A woman with brown hair and makeup,walked into the room confidently,qwen2.5:latest
140,A bearded man shows off,his impressive beard artistry skills,qwen2.5:latest
141,A band sings and,people dance to their music,qwen2.5:latest
142,There are three women in pink dresses,wearing matching hats.,qwen2.5:latest
143,"A man is painting the siding,",he focuses intently on each panel.,qwen2.5:latest
144,A man is sitting on the side,"of the road, watching traffic.",qwen2.5:latest
145,A dog is swimming across the,lake to fetch a stick,qwen2.5:latest
146,A woman with,long flowing hair stood confidently,qwen2.5:latest
147,A young lady in motion on cobblestone,was gracefully dodging obstacles,qwen2.5:latest
148,Two people in outwear are using telescopes on tripods to view items in an urban area during,nightfall,qwen2.5:latest
149,A dog is running,through the park chasing a frisbee.,qwen2.5:latest
150,A person dressed like a devil is,scaring children at the Halloween party,qwen2.5:latest
151,A group of people are sitting next to each other,in silence after the tragic news.,qwen2.5:latest
152,A man wearing an orange safety vest writes in a,notebook,qwen2.5:latest
153,Girl in a blue sweater,wore it on her favorite day.,qwen2.5:latest
154,Three brave bicyclists race,through the winding mountain roads,qwen2.5:latest
155,A person in a blue jacket walks his golden,dog through the park.,qwen2.5:latest
156,A woman in a long,dress walked into the room,qwen2.5:latest
157,A smiling woman is,holding a bouquet of flowers,qwen2.5:latest
158,A woman inside a building is wearing a headscarf and looking,out,qwen2.5:latest
159,A man in a white hat and white shirt with a,black suit,qwen2.5:latest
160,A young man in a white shirt holds,a microphone as if he were about to speak.,qwen2.5:latest
161,"Is it nap time, a yoga lesson, or a school assembly that has first or second graders intently",sitting quietly in their seats?,qwen2.5:latest
162,Big brown dog chews,on an old shoe belonging to his owner.,qwen2.5:latest
163,A boy is jumping off the,rooftop to catch a frisbee.,qwen2.5:latest
164,Two men dressed in potato sacks,were participating in a unique agricultural festival parade.,qwen2.5:latest
165,"A man, woman, and child",were walking in the park together.,qwen2.5:latest
166,A man in a cowboy hat with,A man in a cowboy hat with dusty boots likely works on a ranch.,qwen2.5:latest
167,A woman walking with a,dog,qwen2.5:latest
168,A brown dog plays with a bright,ball in the park.,qwen2.5:latest
169,Two police officers are standing before a,building awaiting further instructions.,qwen2.5:latest
170,A business event is taking place with an attractive blond woman smiling,at the center of attention,qwen2.5:latest
171,Several men in bright green safety,suits were working on the construction site,qwen2.5:latest
172,a woman stamds in the middle,of the room,qwen2.5:latest
173,A woman guides a dog,through the obstacle course.,qwen2.5:latest
174,One man holds another man's head down and prepares,to choke him.,qwen2.5:latest
175,A man plays fetch with his big black,dog,qwen2.5:latest
176,A bald man with a beard holding,a cane,qwen2.5:latest
177,An equestrian rider is on a horse jumping over,fences in a competition,qwen2.5:latest
178,"A group of people stands talking to each other, while",one person reads a book quietly in the background.,qwen2.5:latest
179,Someone is flipping on,the bed in excitement,qwen2.5:latest
180,A band member jumps,into the audience to engage with fans.,qwen2.5:latest
181,A man tugs on a,fishermen's line hoping to catch a,qwen2.5:latest
182,Two teams playing a,soccer match were intensely competing for the ball,qwen2.5:latest
183,Young girl swinging at a,park,qwen2.5:latest
184,"One man in green shorts, brown shirt and cowboy hat, outside",was likely a tourist posing for a photo at a Western-themed park.,qwen2.5:latest
185,Several people are on,the beach for a picnic.,qwen2.5:latest
186,A child getting out of the,school bus waved to his mother.,qwen2.5:latest
187,"A men's tennis match on blue court, shows player",serving an aggressive ace.,qwen2.5:latest
188,A young woman gives directions to an,elderly man in front of a museum.,qwen2.5:latest
189,A woman in a blue dress is,dancing gracefully under the moonlight,qwen2.5:latest
190,Various pedestrians walk down a,busy street in the city center,qwen2.5:latest
191,An Indian woman in a red and gold dress,wore traditional attire for the festival.,qwen2.5:latest
192,"Two young girls lay, face down, on grass and face the camera as they listen",to the sound of raindrops.,qwen2.5:latest
193,Water splashes up as a man,jumps into a pond to cool off.,qwen2.5:latest
194,"Two children, wearing vests and pants, sit on",a bench at the park watching ducks swim by.,qwen2.5:latest
195,A group of men dressed in Japanese style,robed themselves in silence before performing a traditional dance.,qwen2.5:latest
196,Lady in sunglasses lying down with,a book in her hand relaxing on a park bench,qwen2.5:latest
197,A boy wearing a blue shirt,walked into the room quietly,qwen2.5:latest
198,A person flies through the air in a,barnyard stunt gone wrong,qwen2.5:latest
199,A young boy in a desert is,searching for waterholes to find some moisture.,qwen2.5:latest
200,a football player in a brown jersey,scored the winning goal,qwen2.5:latest
201,A skier flies,over the halfpipe,qwen2.5:latest
202,A crowd of Hindu,gathered to celebrate Diwali,qwen2.5:latest
203,two people swim in,the lake together peacefully,qwen2.5:latest
204,Two boys run after a soccer,ball into the goal.,qwen2.5:latest
205,A woman is getting her dog,groomed at the pet salon.,qwen2.5:latest
206,A woman is filling air up,into her bicycle tire.,qwen2.5:latest
207,Man standing in the foreground with taxi behind with lights on and buildings,is silhouetted against a bright cityscape at night.,qwen2.5:latest
208,african children and african,are often depicted together in stories to highlight unity and solidarity.,qwen2.5:latest
209,A young child with his,curious eyes explored every corner of the room.,qwen2.5:latest
210,A child in gray clothes is,standing near the playground,qwen2.5:latest
211,Women in white hats,were likely at the wedding ceremony,qwen2.5:latest
212,Two men play their instruments,in harmony together,qwen2.5:latest
213,The boxer with orange gloves is hitting,the opponent with great force,qwen2.5:latest
214,A group of four,walked into the bar at midnight,qwen2.5:latest
215,Arabic man walking across a red,street signal,qwen2.5:latest
216,A young man wearing a hood standing in,by the rain,qwen2.5:latest
217,One of the many volleyball,players on our team scored a crucial point.,qwen2.5:latest
218,The beautiful lady,was wearing a stunning gown,qwen2.5:latest
219,Guy with a hat,wore an old fedora,qwen2.5:latest
220,A cleaning lady walks down the road with a sweeping machine what,and cleans the pavement.,qwen2.5:latest
221,Crowd watches a street,performance at night,qwen2.5:latest
222,A man wearing a helmet is,riding a motorcycle,qwen2.5:latest
223,Man in scrubs yawns next,to his phone checking the time.,qwen2.5:latest
224,A group of South African runners,won the race by a significant margin,qwen2.5:latest
225,A woman in a gray,sweater was knitting a scarf,qwen2.5:latest
226,A man wearing a navy sweater and,worn-out jeans sat on the park bench.,qwen2.5:latest
227,A Man holding flowers while a dog,walks by,qwen2.5:latest
228,A woman breastfeeds her child while,sitting in a public park,qwen2.5:latest
229,A man bundled up in the cold weather up in,A man bundled up in the cold weather uptown to meet his friends for drinks.,qwen2.5:latest
230,Six children and two adults playing on,the swings and slides at the park,qwen2.5:latest
231,A woman in a black and white checkered shirt is coloring in,a vibrant floral pattern,qwen2.5:latest
232,A man trying to,catch his breath after a long run,qwen2.5:latest
233,A brown dog barks over its,owner's hand feeding it treats.,qwen2.5:latest
234,Two parents with two children and others dressed,in formal attire for a dinner event,qwen2.5:latest
235,Child opening up,about his feelings,qwen2.5:latest
236,A fireman begins to cross the,burning bridge,qwen2.5:latest
237,A little girl stands in a puddle,because she thinks it's fun to make splashes,qwen2.5:latest
238,A group of young people sit together on the,park bench sharing stories about their adventures,qwen2.5:latest
239,Two mothers stroll their children in the,park on a sunny day,qwen2.5:latest
240,A baseball player in a white outfit,hit the ball out of the park,qwen2.5:latest
241,A man and women are holding hands and dancing with many people in,and dancing to the lively music,qwen2.5:latest
242,A deep sea,dived to discover new species,qwen2.5:latest
243,"There is a large gathering of people, with two men in white shirts and one with a flag draped over him in",standing triumphantly at the center of attention,qwen2.5:latest
244,Young male walking past,a crowded street,qwen2.5:latest
245,Two men pose,for a photo at the beach,qwen2.5:latest
246,A paddle boarder wearing a wetsuit,fell into the water during the storm.,qwen2.5:latest
247,The white dog next to the brown,was playing in the park,qwen2.5:latest
248,Two men dressed in winter coats are standing outside in the snow,waiting for the bus to arrive,qwen2.5:latest
249,Female basketball players,are becoming increasingly respected for their athleticism and skill.,qwen2.5:latest
250,two women walk down,the street discussing their plans for the weekend.,qwen2.5:latest
251,Two women walking,down the street discussing their plans for the weekend.,qwen2.5:latest
252,A woman with her hair in a ponytail chose,to style her outfit for a casual day out.,qwen2.5:latest
253,A black-haired man talks,about his experiences in different cultures.,qwen2.5:latest
254,A man is standing in,the rain wearing a hooded jacket.,qwen2.5:latest
255,A toddler boy in a red tank top and khaki shorts walks on the European street,holding his mother's hand,qwen2.5:latest
256,An older individual crosses the street on what seems to be,an important errand for today.,qwen2.5:latest
257,Many people are gathered on the side of a,the road watching an accident.,qwen2.5:latest
258,Two friends hold onto each other smiling,in happiness after a close match in their favorite game,qwen2.5:latest
259,Two children run and,play追逐在花园里。,qwen2.5:latest
260,A man and woman kiss as they,walk into a romantic sunset together,qwen2.5:latest
261,"A woman walking in rain, with",an umbrella trying to stay dry,qwen2.5:latest
262,A toddler sitting in a portable highchair enjoys a snack on the grass,eating strawberries while looking at clouds,qwen2.5:latest
263,Two dogs,were fighting over a toy.,qwen2.5:latest
264,"One Caucasian woman walks among an ethnically diverse group of pedestrians, crossing",and ignoring cultural differences.,qwen2.5:latest
265,Random people at an,Random people at an event started arguing over who ordered the last pizza.,qwen2.5:latest
266,The boy in blue shorts is,playing soccer on the field,qwen2.5:latest
267,A woman in a multicolored top is walking down the street and,she catches everyone's attention with her vibrant outfit.,qwen2.5:latest
268,A group of people build a,shelter together in the wilderness,qwen2.5:latest
269,"Four cheerleaders in white, gray, and orange uniforms",were performing a synchronized dance routine.,qwen2.5:latest
270,A man in a suit,walked into the room,qwen2.5:latest
271,A boy jumping off,the cliff into the water,qwen2.5:latest
272,Crowds stroll past an elegant,building adorned with intricate sculptures,qwen2.5:latest
273,"A man poses for a little girl, his arms outstretched,",in a playful embrace.,qwen2.5:latest
274,A classroom is performing,a play for the school festival,qwen2.5:latest
275,Several young girls are sitting on the,bench waiting for the bus to arrive,qwen2.5:latest
276,A guard is on the look,out for any suspicious activity.,qwen2.5:latest
277,A panned back shot of some children playing soccer on a makeshift soccer,field showed the lively game in progress.,qwen2.5:latest
278,A girl wearing pink goggles is underwater as water escapes in the,A girl wearing pink goggles is underwater as water escapes through a broken seal on her mask.,qwen2.5:latest
279,"Two men, one in a gray shirt and one in",a blue shirt,qwen2.5:latest
280,A young boy wearing a hat made out of,straw found himself in a magical world.,qwen2.5:latest
281,Two men are,arguing over a debt dispute,qwen2.5:latest
282,A group of people is standing around and a guy,is sharing an idea for a new project.,qwen2.5:latest
283,A Toddler wearing a dark blue jacket and knit cap is standing on gravel and pointing,at something interesting in the distance,qwen2.5:latest
284,Two young women pose and smile,for the camera,qwen2.5:latest
285,A man in a red cap and blue jeans is riding a bike that,has a basket filled with vegetables,qwen2.5:latest
286,Two middle Eastern men,were discussing peacefully in a café.,qwen2.5:latest
287,A girl kisses her mother goodbye before she waits,at the bus stop.,qwen2.5:latest
288,A very young girl with a green coat and red rain boots putting her foot in the,puddle on the sidewalk,qwen2.5:latest
289,A man in a gray striped shirt,was standing by the window observing the rain.,qwen2.5:latest
290,A man drinking a beverage and holding a plastic,cup,qwen2.5:latest
291,A long-haired dog runs across a lawn with,a playful wag of its tail,qwen2.5:latest
292,"Colored lights illuminate three barefoot dancers in shades of pink, red, and blue as they",they twirl gracefully under the moonlit sky.,qwen2.5:latest
293,Seven people are sitting at a picnic table,and enjoying the sunny day.,qwen2.5:latest
294,A woman wearing a black shirt is pointing to glass,at the exhibit display,qwen2.5:latest
295,A skateboarder performing a,stunt on the halfpipe,qwen2.5:latest
296,A group of Asian,students gathered outside the restaurant for lunch.,qwen2.5:latest
297,A group of Asian young adults are,having a lively discussion about their favorite movies.,qwen2.5:latest
298,"Gray-haired black male, wearing a white jacket and black",trousers,qwen2.5:latest
299,A early-bald man puts on,a hat to hide his baldness,qwen2.5:latest
300,"2 guys one is a gymnast whom is performing, the other stretching and",is preparing for his routine,qwen2.5:latest
301,A man is spinning in the air above a,trampoline.,qwen2.5:latest
302,Group of rollerskaters in,were practicing their synchronized moves,qwen2.5:latest
303,Man in shorts and t-shirt walking and holding a,water bottle,qwen2.5:latest
304,A young boy wearing white shorts and a blue,t-shirt was playing soccer in the park,qwen2.5:latest
305,The Workers using a truck to distribute rocks so,they could quickly fill up the newly excavated pits.,qwen2.5:latest
306,A beautiful asian lady standing in a crosswalk in a,traditional dress holding an umbrella,qwen2.5:latest
307,small blond girl balances on one foot on a sandy rock while,the waves crash against the shore nearby,qwen2.5:latest
308,A man with a backpack makes a video of another,man while hiking in the mountains.,qwen2.5:latest
309,A child in a jean jacket smiles,wearing a happy expression.,qwen2.5:latest
310,A child with blond-hair is reading a,book about dinosaurs,qwen2.5:latest
311,The two men drive off in a small silver,car without looking back.,qwen2.5:latest
312,A snowboarder performing a trick high in,the air,qwen2.5:latest
313,Two men are using two horse,and carriage to deliver goods through the countryside.,qwen2.5:latest
314,A baseball player tries to slide into third base while,the pitcher throws the ball.,qwen2.5:latest
315,A toddler in a red toy car,rode through the living roompanse: A toddler in a red toy car rode through the living room.,qwen2.5:latest
316,An elephant wearing a red and blue,costume marched through the circus tent.,qwen2.5:latest
317,4 young adults are lined up to,wait for their turn to speak,qwen2.5:latest
318,Boy runs through the,park chasing after a butterfly,qwen2.5:latest
319,A young male child running,through the park on a sunny day,qwen2.5:latest
320,A catcher in a baseball game in the act of,catching a ball,qwen2.5:latest
321,People flying their kites,in the park on a windy day,qwen2.5:latest
322,Protesters wearing yellow scarves and helmets form a human wall,to block police vehicles from entering the protest area.,qwen2.5:latest
323,Man working a machine,operated it carefully to ensure safety,qwen2.5:latest
324,A man and woman are kissing and,they become lost in each other's embrace,qwen2.5:latest
325,A man with shaved head on,was likely a member of a gang or sought a more minimalist look.,qwen2.5:latest
326,a young long girl,with short hair,qwen2.5:latest
327,A woman holds a black and pink striped bag among,crowds of people,qwen2.5:latest
328,Kids are playing in the ocean on,a sunny day,qwen2.5:latest
329,Two young children are,playing in a nearby park,qwen2.5:latest
330,Girl with long brown hair sitting on,a park bench overlooking the cityscape,qwen2.5:latest
331,A black and brown dog wearing a,red collar ran towards the park.,qwen2.5:latest
332,The dog is standing outside,because it probably smelled something unfamiliar.,qwen2.5:latest
333,Seven people are taking a break from skiing,on the nearby bench after a long day on the slopes.,qwen2.5:latest
334,A bearded hairy musician happily plays his,guitar under the moonlight,qwen2.5:latest
335,Four children hold hands and,form a circle around the bonfire,qwen2.5:latest
336,A couple sits together,in silence after their argument.,qwen2.5:latest
337,Many people sit or stand around the,fountain to enjoy the music and scenery.,qwen2.5:latest
338,A girl at her,promised wedding wore a stunning gown.,qwen2.5:latest
339,a young child swimming in a pool,should be supervised at all times.,qwen2.5:latest
340,Individuals sit contently on park benches under newly,planted trees.,qwen2.5:latest
341,Four women sitting on green outdoor furniture on a patio,enjoying the warm sun in the afternoon,qwen2.5:latest
342,A young lady in a light blue outfit,was walking gracefully through the park.,qwen2.5:latest
343,Two men taking a picture together with the,Two men taking a picture together with the sunset in the background,qwen2.5:latest
344,group of African children sitting a,on the ground in front of a schoolhouse,qwen2.5:latest
345,Two officers are riding horses in the,parks to maintain order.,qwen2.5:latest
346,A boy in a striped shirt is preparing to,throw a ball,qwen2.5:latest
347,Woman on a motorcycle,rode past with style,qwen2.5:latest
348,"A bus full of people, among them a small boy in","wonderful clothes, caught everyone's attention.",qwen2.5:latest
349,A woman swinging a,hammer,qwen2.5:latest
350,Many children are sitting in a classroom,waiting for the teacher to start the lesson,qwen2.5:latest
351,A man in a striped shit standing in front,of the store window,qwen2.5:latest
352,Two people are sitting down across,from each other.,qwen2.5:latest
353,The man is jumping over,fences to reach safety,qwen2.5:latest
354,A group of people are backpacking,through the mountains in search of adventure.,qwen2.5:latest
355,A man and a woman locking arms (wearing expensive clothing) next to glass display,indicated they were a couple shopping for jewelry.,qwen2.5:latest
356,Two brown dogs are playing with each other on the,grass,qwen2.5:latest
357,A child bolts from a bench,and runs towards the playground,qwen2.5:latest
358,A man is launched into the,outer space,qwen2.5:latest
359,A male is,A male is someone who identifies as a man.,qwen2.5:latest
360,A middle-aged ethnic woman carrying a bundle of sticks,walked through the village market.,qwen2.5:latest
361,A young woman and a young man are stretching,in the morning sunlight.,qwen2.5:latest
362,Two men on horses race around the ring,to see who is faster,qwen2.5:latest
363,A baby boy in,wearing a tiny blue shirt,qwen2.5:latest
364,A man in a tan hat and,worn leather boots stood by the river.,qwen2.5:latest
365,An officer stands next to a,burned-out car,qwen2.5:latest
366,Young child makes a,mess when painting,qwen2.5:latest
367,Three women in dark shawls and hats talk on a brick,street corner,qwen2.5:latest
368,A little baby girl in a blue top and cap,was smiling at the camera,qwen2.5:latest
369,A group of climbers in silhouette stare,at the summit they aim to reach.,qwen2.5:latest
370,A man is holding onto,the railing for support.,qwen2.5:latest
371,A group of people in jeans and white shirts,were likely attending a casual work event.,qwen2.5:latest
372,A boy in a green and yellow t-shirt is,wearing his favorite sports jersey for the game.,qwen2.5:latest
373,"The brown, white and black dog",ran quickly towards the park,qwen2.5:latest
374,"Two large black dogs, one with a ball in",ran after it wildly,qwen2.5:latest
375,Six women are sitting on a brick bench and wearing,traditional garments,qwen2.5:latest
376,A man kicking,a dog in the park,qwen2.5:latest
377,Dog on leash burrows into,a hole in the garden,qwen2.5:latest
378,A man adjusts some,settings on his telescope before observing the night sky.,qwen2.5:latest
379,"A young male in a hat, green shirt and black pants is riding his skateboard at the top",of a steep ramp.,qwen2.5:latest
380,Toddlers playing with yellow,toys can be a delight to watch,qwen2.5:latest
381,a surfer is riding a wave,when the perfect moment presents itself,qwen2.5:latest
382,A woman wearing a white shirt jumps in the,parking lot to catch her reflection.,qwen2.5:latest
383,Man walking down street with,an umbrella due to the rain,qwen2.5:latest
384,A little girl is swinging in a,park,qwen2.5:latest
385,Three large black dogs are,running towards a ball,qwen2.5:latest
386,An old man in a white shirt is,standing by the seaside watching the sunset,qwen2.5:latest
387,A woman carrying a bag with a little girl in a pink dress walking behind,passed by the bakery smelling fresh cookies.,qwen2.5:latest
388,A man has jumped from a,high building into the street below.,qwen2.5:latest
389,Three men standing in,the rain waited for their next move,qwen2.5:latest
