index,Xi,Xj,model
139,He opened the door and found,"that the house was completely empty, with only echoes to greet him.",gpt-4-32k
140,I was cleaning the kitchen when,suddenly I noticed a mouse scurrying across the floor.,gpt-4-32k
141,She was putting on her coat when,she received a call from an unknown number.,gpt-4-32k
142,He looked up from his book and,"saw her standing at the doorway, with a smile that could brighten any room.",gpt-4-32k
143,The candle flickered as,the wind gently blew through the open window.,gpt-4-32k
144,She had just finished her coffee when,she noticed a stranger staring at her from across the room.,gpt-4-32k
145,I was typing an email when,suddenly the power went out.,gpt-4-32k
146,He stepped outside and,felt the cool breeze brush against his face.,gpt-4-32k
147,She was adjusting her seatbelt when,the car suddenly hit a bump on the road.,gpt-4-32k
148,"I heard a knock at the door, and","when I opened it, there stood a stranger with a mysterious smile.",gpt-4-32k
149,The clock was ticking as,the deadline for the project was swiftly approaching.,gpt-4-32k
150,He was locking the door when,he heard a sudden noise from the basement.,gpt-4-32k
151,I was looking for my wallet when,I realized it had been in my back pocket all along.,gpt-4-32k
152,They were just about to sit down when,"the doorbell rang, startling everyone in the room.",gpt-4-32k
153,She opened her notebook and,"began to jot down her thoughts, trying to make sense of the day's events.",gpt-4-32k
154,He took a sip of water and,immediately felt a surge of energy coursing through his veins.,gpt-4-32k
155,I had just started the car when,suddenly the engine sputtered and died.,gpt-4-32k
156,"The elevator doors opened, and",she stepped out into the bustling corporate office.,gpt-4-32k
157,She was brushing her hair when,suddenly the lights went out.,gpt-4-32k
158,"He turned the key, but",the car refused to start.,gpt-4-32k
159,"The oven timer beeped, and",she quickly put on her oven mitts to take out the freshly baked cookies.,gpt-4-32k
160,I was packing my suitcase when,my long-lost friend suddenly showed up at my doorstep.,gpt-4-32k
161,She reached for the remote control and,changed the channel to her favorite show.,gpt-4-32k
162,He was standing in line when,suddenly he realized he had forgotten his wallet at home.,gpt-4-32k
163,I was flipping through a magazine when,I suddenly saw a picture of my old high school friend.,gpt-4-32k
164,"The rain began to fall, and",the streets started to glisten under the dim streetlights.,gpt-4-32k
165,She was about to turn off the light when,she heard a strange noise coming from the basement.,gpt-4-32k
166,He was putting on his jacket when,he realized he had lost his wallet.,gpt-4-32k
167,"I heard footsteps behind me, and",I quickly turned around to see who was there.,gpt-4-32k
168,They were checking their tickets when,they realized one was missing.,gpt-4-32k
169,She looked up from her laptop and,noticed that it was already night outside.,gpt-4-32k
170,He was unlocking the car door when,he suddenly noticed a stranger lurking in the shadows.,gpt-4-32k
171,The wind rustled the leaves as,"the sun began to set, painting the sky with hues of orange and purple.",gpt-4-32k
172,I was scrolling through my phone when,I accidentally stumbled upon an old photo that brought back a flood of memories.,gpt-4-32k
173,She was pouring a cup of coffee when,"the phone rang abruptly, startling her.",gpt-4-32k
174,He had just finished his presentation when,the fire alarm unexpectedly went off.,gpt-4-32k
175,The music was playing softly as,the couple started their romantic dance.,gpt-4-32k
176,I was standing by the window when,I saw a mysterious figure approaching the house.,gpt-4-32k
177,She reached for her glasses and,realized they were broken.,gpt-4-32k
178,He was buttoning his shirt when,he realized he'd forgotten his tie.,gpt-4-32k
179,The birds were chirping as,"the sun began to rise, heralding the start of a new day.",gpt-4-32k
180,I was writing a message when,my phone suddenly ran out of battery.,gpt-4-32k
181,She was flipping through the channels when,she suddenly stumbled upon her favorite childhood show.,gpt-4-32k
182,He was about to send the email when,he suddenly realized he had forgotten the attachment.,gpt-4-32k
183,The bus was approaching the stop when,"suddenly a car swerved in front of it, causing panic among the passengers.",gpt-4-32k
184,I had just sat down to dinner when,"the doorbell rang, disrupting the peaceful evening.",gpt-4-32k
185,She was putting on her makeup when,she received an unexpected call from her long-lost friend.,gpt-4-32k
186,He opened his notebook and,found a letter he had forgotten about.,gpt-4-32k
187,The breeze was cool as,it gently rustled the leaves of the trees.,gpt-4-32k
188,I was adjusting the thermostat when,suddenly the power went out.,gpt-4-32k
189,She was organizing her closet when,she found an old photo album filled with childhood memories.,gpt-4-32k
190,He picked up the pen and,started to write his thoughts in a delicate handwriting.,gpt-4-32k
191,I was standing in line when,suddenly I realized I had forgotten my wallet at home.,gpt-4-32k
192,She was walking toward the building when,she suddenly realized she had left her keys at home.,gpt-4-32k
193,The moon was shining brightly as,it illuminated the path through the dark forest.,gpt-4-32k
194,I was just about to fall asleep when,the loud crash from the living room startled me awake.,gpt-4-32k
195,She opened her laptop and,started working on her unfinished novel.,gpt-4-32k
196,He was reading the instructions when,suddenly the power went out.,gpt-4-32k
197,The clouds were gathering as,"the storm was approaching, promising a heavy downpour.",gpt-4-32k
198,I was on my way to the appointment when,I realized I had forgotten the necessary documents at home.,gpt-4-32k
199,She was unlocking the front door when,she realized she had forgotten her keys inside.,gpt-4-32k
200,He was finishing up his report when,suddenly the power went out.,gpt-4-32k
201,The sky was turning dark as,"the storm clouds began to gather, hinting at an upcoming downpour.",gpt-4-32k
202,I was about to leave the office when,my boss called me for an urgent meeting.,gpt-4-32k
203,She was searching for her keys when,she suddenly remembered leaving them in the car.,gpt-4-32k
204,He stepped out of the elevator and,immediately noticed the unusual silence in the corridor.,gpt-4-32k
205,The waves lapped against the shore as,"the sun began to set, painting the sky with hues of pink and orange.",gpt-4-32k
206,I was waiting for the bus when,suddenly it started to rain heavily.,gpt-4-32k
207,She was reviewing her notes when,suddenly she discovered a crucial piece of information she had previously overlooked.,gpt-4-32k
208,He was packing his bag when,his phone rang with an urgent call from work.,gpt-4-32k
209,The snow was falling gently as,"the children played joyfully, their faces flushed with excitement.",gpt-4-32k
210,I was looking out the window when,I saw a strange figure approaching the house.,gpt-4-32k
211,She was getting ready for bed when,she heard a strange noise coming from the living room.,gpt-4-32k
212,He was checking his watch when,he realized he had forgotten an important meeting.,gpt-4-32k
213,The smell of freshly baked bread filled the air as,the baker pulled out the steaming loaves from the oven.,gpt-4-32k
214,I was sipping my coffee when,"the doorbell rang abruptly, startling me.",gpt-4-32k
215,She was flipping through a magazine when,she suddenly saw a picture of her long-lost friend.,gpt-4-32k
216,He was just about to finish when,suddenly the power went out.,gpt-4-32k
217,The clock was ticking loudly as,the deadline for the project approached.,gpt-4-32k
218,I was browsing the internet when,suddenly the power went out.,gpt-4-32k
219,She was putting on her shoes when,she received an unexpected call from her office.,gpt-4-32k
220,The sun was setting slowly as,the sky painted itself in hues of orange and purple.,gpt-4-32k
221,I was waiting for my turn when,"suddenly the power went out, plunging the entire place into darkness.",gpt-4-32k
222,She was about to answer the phone when,"suddenly the doorbell rang, startling her.",gpt-4-32k
223,He had just locked the door when,he heard a strange noise from inside the house.,gpt-4-32k
224,The streetlights flickered as,"the storm began to roll in, casting eerie shadows on the deserted pavement.",gpt-4-32k
225,I was getting dressed when,suddenly the power went out.,gpt-4-32k
226,She was opening her mail when,she received the shocking news of her uncle's demise.,gpt-4-32k
227,He was writing a letter when,"suddenly the power went out, leaving him in darkness.",gpt-4-32k
228,The sound of laughter filled the room as,the surprise party guests revealed themselves.,gpt-4-32k
229,I was reading the instructions when,suddenly the power went out.,gpt-4-32k
230,She was looking through her emails when,she suddenly stumbled upon a job offer from a reputed company.,gpt-4-32k
231,He was putting his things away when,he heard a strange noise coming from the basement.,gpt-4-32k
232,The stars twinkled in the sky as,the lovers confessed their feelings to each other.,gpt-4-32k
233,I was about to grab a snack when,"the doorbell rang, interrupting my plans.",gpt-4-32k
234,She was zipping up her bag when,she realized she had forgotten her passport.,gpt-4-32k
235,He was flipping through the pages of the book when,he suddenly discovered a hidden note.,gpt-4-32k
236,The car slowed down as,it approached the sharp turn.,gpt-4-32k
237,I was going through my paperwork when,I realized I had misplaced an important document.,gpt-4-32k
238,She was just about to leave when,"the phone rang, it was an unexpected call from her old friend.",gpt-4-32k
239,He was talking on the phone when,suddenly the call got disconnected.,gpt-4-32k
240,The lights dimmed as,the movie was about to start.,gpt-4-32k
241,I was checking my messages when,I suddenly received a notification about winning the lottery.,gpt-4-32k
242,She was about to send the text when,she realized she was messaging the wrong person.,gpt-4-32k
243,"He reached for the remote control, but",it was nowhere to be found.,gpt-4-32k
244,The wind was howling as,"the storm rapidly approached, shaking the frail old house.",gpt-4-32k
245,I was organizing my files when,I stumbled upon some old photographs that brought back a flood of memories.,gpt-4-32k
246,She was stirring her tea when,she suddenly felt a sharp pain in her chest.,gpt-4-32k
247,He had just finished his breakfast when,his phone rang with an urgent message from work.,gpt-4-32k
248,The rain was pouring down as,"the thunder roared, creating a symphony of nature's fury.",gpt-4-32k
249,I was going through my notes when,I realized I had missed an important detail.,gpt-4-32k
250,She was typing an email when,suddenly the power went out.,gpt-4-32k
251,He looked at the calendar and,realized he had missed his important meeting.,gpt-4-32k
252,The sun was high in the sky as,the children played joyfully on the sandy beach.,gpt-4-32k
253,I was getting ready to leave when,suddenly the doorbell rang.,gpt-4-32k
254,She was buckling her seatbelt when,she noticed a strange object in the rearview mirror.,gpt-4-32k
255,He was reaching for his coffee when,"he accidentally knocked over the cup, spilling it all over the table.",gpt-4-32k
256,The clouds were parting as,"the sun began to shine, casting a beautiful glow on the landscape below.",gpt-4-32k
257,I was just about to call when,my phone battery died.,gpt-4-32k
258,She was writing something down when,she suddenly realized the solution to the problem.,gpt-4-32k
259,He had just stepped outside when,a sudden gust of wind blew his hat away.,gpt-4-32k
260,The phone rang just as,she was about to leave the house.,gpt-4-32k
261,I was putting away the groceries when,I suddenly noticed that I had forgotten to buy milk.,gpt-4-32k
262,She was hanging up the phone when,she heard a sudden knock at the door.,gpt-4-32k
263,He was about to say something when,she interrupted him with a sudden announcement.,gpt-4-32k
264,The breeze was gentle as,it caressed the leaves of the old oak tree.,gpt-4-32k
265,I was running errands when,I suddenly realized I had left the stove on at home.,gpt-4-32k
266,She was just about to close the door when,she heard a faint knock and a muffled voice from outside.,gpt-4-32k
267,He was drinking his coffee when,suddenly he noticed a stranger watching him from across the room.,gpt-4-32k
268,The computer screen flickered as,"the power went out, signaling a possible system failure.",gpt-4-32k
270,She was standing in the hallway when,she heard a strange noise from the basement.,gpt-4-32k
271,He was trying to remember something when,he was abruptly interrupted by a sudden loud noise.,gpt-4-32k
272,The moonlight illuminated the path as,"they made their way through the dense forest, lending an ethereal beauty to their nocturnal adventure.",gpt-4-32k
273,I was just about to walk in when,I noticed the door was already ajar.,gpt-4-32k
274,She was adjusting her scarf when,suddenly a gust of wind blew it away.,gpt-4-32k
275,He had just started cooking when,"the power went out, leaving him in darkness.",gpt-4-32k
276,The leaves rustled as,the wind blew gently through the trees.,gpt-4-32k
277,I was finishing my homework when,my mom called me for dinner.,gpt-4-32k
278,She was putting away her books when,she heard a strange noise coming from the basement.,gpt-4-32k
279,He was walking toward the exit when,he suddenly noticed a familiar face in the crowd.,gpt-4-32k
280,The birds were singing as,"the sun rose, marking the start of a new day.",gpt-4-32k
281,I was standing by the door when,I heard a loud crash from the living room.,gpt-4-32k
282,She was fastening her seatbelt when,she noticed that the plane was about to take off.,gpt-4-32k
283,He was making a cup of tea when,"the doorbell rang, interrupting his peaceful afternoon.",gpt-4-32k
284,The wind blew softly as,"the sun began to set, gently rustling the leaves of the trees.",gpt-4-32k
285,I was reaching for my phone when,I suddenly noticed it was missing from my pocket.,gpt-4-32k
286,She was sorting through the papers when,she stumbled upon a forgotten love letter.,gpt-4-32k
287,He was lacing up his shoes when,he suddenly remembered he had forgotten his keys.,gpt-4-32k
288,The rain started to pour as,"the thunder roared, creating a symphony of nature's fury.",gpt-4-32k
289,I was stepping outside when,"suddenly, a heavy downpour started.",gpt-4-32k
290,She was sipping her tea when,suddenly the doorbell rang.,gpt-4-32k
291,He was gazing out the window when,he saw a mysterious figure lurking in the shadows.,gpt-4-32k
292,The light was fading as,"the sun began to set, casting long shadows across the landscape.",gpt-4-32k
293,I was unlocking the door when,suddenly the lights went out.,gpt-4-32k
294,She was folding the laundry when,she suddenly found an old letter in the pocket of her jeans.,gpt-4-32k
295,He was writing down the address when,he suddenly realized he forgot the zip code.,gpt-4-32k
296,The clouds were heavy as,they indicated an approaching storm.,gpt-4-32k
297,I was packing up my things when,"suddenly, I found an old photo album filled with childhood memories.",gpt-4-32k
298,She was placing her order when,"suddenly, the lights went out in the entire restaurant.",gpt-4-32k
299,He was checking his pockets when,he realized his wallet was missing.,gpt-4-32k
300,The music was fading as,the dance floor started to empty out.,gpt-4-32k
301,I was dusting the shelves when,I accidentally knocked over a priceless antique vase.,gpt-4-32k
302,She was zipping up her suitcase when,she received a call that the flight was cancelled.,gpt-4-32k
303,He was reaching for the light switch when,"suddenly, he felt a cold hand grab his wrist.",gpt-4-32k
304,The car engine roared to life as,"he turned the ignition key, signaling the start of their adventurous road trip.",gpt-4-32k
305,I was standing in the kitchen when,"suddenly, the lights went out and the room was plunged into darkness.",gpt-4-32k
306,She was preparing her lunch when,she heard a knock on the door.,gpt-4-32k
307,He was locking the car when,he noticed his keys were still inside.,gpt-4-32k
