index,Xi,Xj,model
43,A person cuts paper in front of, a mirror to check if it's straight.,mistral:latest
44,A lady in blue long shorts and carrying a bag is glancing, at the mysterious man standing by the fountain,mistral:latest
45,A young male is sitting on a," bench, deep in thought",mistral:latest
46,A man in a white shirt is walking a, down the busy street.,mistral:latest
47,George Bush standing, on stage to deliver a speech,mistral:latest
48,A group of, of people were discussing their plans for a surprise party.,mistral:latest
49,Three men sitting on a couch and eating food, were discussing their plans for the weekend.,mistral:latest
50,One person jumping his bike towards the camera while another one in the," yells ""Watch out!"" to warn them.",mistral:latest
51,A boat selling along side, a dock for tourists to rent,mistral:latest
52,A, The cat chased its tail because it was playful.,mistral:latest
53,Two racing dogs round a turn, ...and their owners were cheering loudly,mistral:latest
54,A man in white and red with sunglasses carrying, a microphone approached the stage to give a speech.,mistral:latest
55,Young people stand underneath," a neon sign, laughing loudly.",mistral:latest
56,A man demonstrating how high his, jumps can go over the wall,mistral:latest
57,A man in a blue shirt places, a bouquet of flowers on the table,mistral:latest
58,skier in red pants, skied down the steepest slope,mistral:latest
59,"Men, woman and children gathering around", to listen to a speech about peace,mistral:latest
60,There is a dog, barking loudly at the mailman.,mistral:latest
61,A woman lays her head down on a pillow, ...and closes her eyes to sleep,mistral:latest
62,Three people take a lift up the mountain in, because they were afraid to climb on foot,mistral:latest
63,A woman with a black shirt on, walked into the room confidently,mistral:latest
64,A girl in a white dress, walked down the aisle towards her groom.,mistral:latest
65,A man paddles on, a kayak downstream towards the ocean,mistral:latest
66,A skateboarder does a tailslide down the side, of the half-pipe,mistral:latest
67,a soldier crouches next to his armored," vehicle, preparing for battle",mistral:latest
68,Two women and a man are, arguing over who should pay for dinner.,mistral:latest
69,a young topless man wearing sunglasses and, approached the beach party.,mistral:latest
70,A woman in a puffy red jacket poses for, a selfie on the bridge,mistral:latest
71,A young man is taking pictures of,...of the beautiful sunset at the beach.,mistral:latest
72,A man gestures while facing a woman wearing glasses as they sit, discussing their differences intensely,mistral:latest
73,A man in the library is reading, a mystery novel loudly on his phone.,mistral:latest
74,A dog on snow has, ...white fur standing out,mistral:latest
75,A soccer player is, about to score a goal during overtime,mistral:latest
76,An Asian woman in black clothing is, standing mysteriously by the dark alleyway.,mistral:latest
77,A dog catches a colored ball, ...and immediately starts to play fetch.,mistral:latest
78,A man dressed in dark colors and a hat plays, a mysterious tune on an old violin.,mistral:latest
79,Two women look at a group, of men discussing business matters intensely.,mistral:latest
80,People sitting at, tables were discussing politics passionately.,mistral:latest
81,Two wrestlers and, a referee were about to enter the ring for their match.,mistral:latest
82,A white and tan dog runs, through the park every morning,mistral:latest
83,Four men sit on the found in, a bench discussing their next move.,mistral:latest
84,A small group of people walk, through a dense forest.,mistral:latest
85,"An elderly train conductor, dressed in black", ...was about to retire after serving for decades.,mistral:latest
86,A Young African American boy wearing a blue baseball cap gazes through a, the window at the bustling city life,mistral:latest
87,People pass each other on a busy city, street without even acknowledging one another,mistral:latest
88,A skier in mid-jump doing a twist, landed gracefully on the other slope,mistral:latest
89,Three Amish women are, ...making traditional quilts by hand.,mistral:latest
90,"A white double horned goat standing on a platform looking at two young boys, one in", who were feeding it carrots.,mistral:latest
91,Four people are sitting on a rock, ...waiting for the sunset to paint the sky.,mistral:latest
92,A white woman is giving a, speech on racial equality,mistral:latest
93,The black and white dog leaps, over the fence excitedly,mistral:latest
94,Children are playing, outside without adult supervision,mistral:latest
95,"Five boys, three wearing"," red shirts and two wearing blue shirts, were playing soccer.",mistral:latest
96,Young pretty blond women holding a tennis racket dressed,...in white on a lush green court.,mistral:latest
97,A man sitting alone in meditation, ...was seeking inner peace.,mistral:latest
98,A man and a woman wearing coats are facing standing outside facing," each other, waiting for their taxi to arrive",mistral:latest
99,A girl is pointing to a spot, on the map where she found hidden treasure,mistral:latest
100,The soccer player wearing the gold jersey is blocking, my shot intentionally,mistral:latest
101,A celebration with, was planned for New Year's Eve,mistral:latest
102,A hiker walks on rocky ground at, ...because every step requires careful balance,mistral:latest
103,Young boy wearing denim shorts, played soccer on a sunny afternoon,mistral:latest
104,A boy playing with, a toy car on the street.,mistral:latest
105,Several people on horses are all in, galloping towards the finish line.,mistral:latest
106,The person in yellow, ...was hiding something important.,mistral:latest
107,A crowd scene with people in, cheering wildly for their favorite performer,mistral:latest
108,Man with cane sits next to, an elderly woman at the bus stop,mistral:latest
109,Large brown dog playing with a, stick in the park,mistral:latest
110,"A bookstore named ""Shakespeare and Company"" has several persons", living inside as temporary residents,mistral:latest
111,Workers walk along railroad, tracks to check for any damage,mistral:latest
112,The young man leaning against a brick wall with a bag of, seemed lost in thought,mistral:latest
113,A couple walking along side a,the beautiful lake stopped to admire the sunset.,mistral:latest
114,A man wearing a white shirt and dark pants is standing at the railing,...overlooking the beautiful sunset.,mistral:latest
115,a man wearing a yellow bike helmet walking, down the busy street,mistral:latest
116,"A man wearing white pants,", walked into a room filled with people.,mistral:latest
117,A boy standing in the foreground looking out, at a storm approaching on the horizon,mistral:latest
118,A man and a woman are running and, ...towards the finish line in the marathon race.,mistral:latest
119,A man in blue jeans and a dark green shirt, walked into the room unexpectedly,mistral:latest
120,Three baseball players in the, team were injured during a game.,mistral:latest
121,A baseball player is swinging at a, pitch for a home run,mistral:latest
122,A little Asian, girl danced gracefully.,mistral:latest
123,A man selling ice, cream on a hot day.,mistral:latest
124,A group of young girls are competing in a basketball, tournament to win the championship title.,mistral:latest
125,A woman is dressed up with forks, ...as a salad.,mistral:latest
126,"A man, a woman, and a", child were walking together on a sunny day.,mistral:latest
127,A group of people jump into, a lake to cool off,mistral:latest
128,"A young couple, both blond, female in red plaid jacket, carrying a designer", bag on their way to dinner at an upscale restaurant,mistral:latest
129,Two men riding on a motorbike, were racing each other down the street,mistral:latest
130,A baseball player is, going to break his record for home runs,mistral:latest
131,Kids jumping into, the inflatable pool,mistral:latest
132,A man in a hat and a woman in a green shirt and, were discussing their shared love for vintage cars.,mistral:latest
133,Two women walk down the street," ...in high heels, causing a commotion.",mistral:latest
134,A young boy playing, outside had accidentally broken his toy.,mistral:latest
135,Back of man's head, turned towards a mysterious figure approaching from behind,mistral:latest
136,A child in a blue jacket, ran away from home without permission,mistral:latest
137,A juggler in plaid, performed a mesmerizing act on stage.,mistral:latest
138,A little girl in a pink bathing suit jumps up, to catch the water balloon thrown by her friends.,mistral:latest
139,A woman with brown hair and makeup, sat down at the table to discuss her plans,mistral:latest
140,A bearded man shows off, his impressive collection of rare coins,mistral:latest
141,A band sings and, plays a mix of classic rock and modern pop hits.,mistral:latest
142,There are three women in pink dresses, at the front of the line for their tickets.,mistral:latest
143,"A man is painting the siding,", because he wanted to give his house a fresh look,mistral:latest
144,A man is sitting on the side," of the road, deep in thought",mistral:latest
145,A dog is swimming across the, a wide river to reach its owner on the other side,mistral:latest
146,A woman with, a mysterious past walked into the room.,mistral:latest
147,A young lady in motion on cobblestone, tiptoed gracefully towards an ancient fountain,mistral:latest
148,Two people in outwear are using telescopes on tripods to view items in an urban area during, ...because they were stargazing at night.,mistral:latest
149,A dog is running, towards its owner calling for attention,mistral:latest
150,A person dressed like a devil is, ...trying to scare children on Halloween night.,mistral:latest
151,A group of people are sitting next to each other, at a long table discussing their shared experiences.,mistral:latest
152,A man wearing an orange safety vest writes in a, ...a detailed report on the construction progress.,mistral:latest
153,Girl in a blue sweater, walked into the room unexpectedly,mistral:latest
154,Three brave bicyclists race, down Mount Everest to set a new record,mistral:latest
155,A person in a blue jacket walks his golden, retriever down the street.,mistral:latest
156,A woman in a long, red dress walked down the street.,mistral:latest
157,A smiling woman is, walking down the street with her dog.,mistral:latest
158,A woman inside a building is wearing a headscarf and looking, out at the protest,mistral:latest
159,A man in a white hat and white shirt with a, black tie approached the stage.,mistral:latest
160,A young man in a white shirt holds, a guitar nervously before his first performance.,mistral:latest
161,"Is it nap time, a yoga lesson, or a school assembly that has first or second graders intently", listening to a story being read aloud.,mistral:latest
162,Big brown dog chews, on his favorite toy.,mistral:latest
163,A boy is jumping off the, a cliff into the lake,mistral:latest
164,Two men dressed in potato sacks, were participating in a unique costume contest,mistral:latest
165,"A man, woman, and child", were on a family vacation together,mistral:latest
166,A man in a cowboy hat with, ...was trying to tame his unruly horse.,mistral:latest
167,A woman walking with a, dog suddenly stopped when she saw a group of children playing nearby.,mistral:latest
168,A brown dog plays with a bright, yellow ball in the park.,mistral:latest
169,Two police officers are standing before a, ...a suspect who refuses to cooperate.,mistral:latest
170,A business event is taking place with an attractive blond woman smiling, ...as the keynote speaker.,mistral:latest
171,Several men in bright green safety, vests were directing traffic at the construction site.,mistral:latest
172,a woman stamds in the middle," of a crowded room, delivering an inspiring speech",mistral:latest
173,A woman guides a dog, through an obstacle course.,mistral:latest
174,One man holds another man's head down and prepares, to deliver a fatal blow,mistral:latest
175,A man plays fetch with his big black, dog in the park,mistral:latest
176,A bald man with a beard holding, a microphone on stage.,mistral:latest
177,An equestrian rider is on a horse jumping over, a series of obstacles at full speed,mistral:latest
178,"A group of people stands talking to each other, while", a stranger approaches them cautiously.,mistral:latest
179,Someone is flipping on, a light switch,mistral:latest
180,A band member jumps, off stage to interact with fans,mistral:latest
181,A man tugs on a, rope attached to a trapped animal.,mistral:latest
182,Two teams playing a, match to decide who advances.,mistral:latest
183,Young girl swinging at a, park on her own joyfully,mistral:latest
184,"One man in green shorts, brown shirt and cowboy hat, outside", ...was trying to sell homemade lemonade.,mistral:latest
185,Several people are on, a mission to save endangered species.,mistral:latest
186,A child getting out of the, school bus without looking caused a minor accident.,mistral:latest
187,"A men's tennis match on blue court, shows player", ...was a fierce battle between two skilled opponents.,mistral:latest
188,A young woman gives directions to an, a lost tourist eagerly,mistral:latest
189,A woman in a blue dress is, walking down the street with a determined look on her face.,mistral:latest
190,Various pedestrians walk down a," ...the bustling street, each lost in their own thoughts.",mistral:latest
191,An Indian woman in a red and gold dress, danced gracefully at the Diwali festival,mistral:latest
192,"Two young girls lay, face down, on grass and face the camera as they listen", to their teacher explaining a math problem,mistral:latest
193,Water splashes up as a man, jumps into the pool,mistral:latest
194,"Two children, wearing vests and pants, sit on"," a large rock by the riverbank, fishing rods in hand.",mistral:latest
195,A group of men dressed in Japanese style, were preparing for a traditional tea ceremony,mistral:latest
196,Lady in sunglasses lying down with, ...on a sun lounger at the beach,mistral:latest
197,A boy wearing a blue shirt, ...was trying to solve a complex math problem.,mistral:latest
198,A person flies through the air in a, ...because they were skydiving,mistral:latest
199,A young boy in a desert is, searching for an oasis to survive,mistral:latest
200,a football player in a brown jersey, scored the winning touchdown,mistral:latest
201,A skier flies, off a steep cliff,mistral:latest
202,A crowd of Hindu, people gathered to perform a traditional ceremony.,mistral:latest
203,two people swim in," a calm, clear lake.",mistral:latest
204,Two boys run after a soccer, ball that rolled into the street,mistral:latest
205,A woman is getting her dog, from a kennel at the park,mistral:latest
206,A woman is filling air up, into a balloon,mistral:latest
207,Man standing in the foreground with taxi behind with lights on and buildings, man was taking a photograph.,mistral:latest
208,african children and african, elephants were sharing stories about their homeland.,mistral:latest
209,A young child with his, new toy refused to share it.,mistral:latest
210,A child in gray clothes is, running towards the ice cream truck excitedly,mistral:latest
211,Women in white hats, were protesting for equal rights,mistral:latest
212,Two men play their instruments, ...in perfect harmony.,mistral:latest
213,The boxer with orange gloves is hitting, ...the heavy bag aggressively,mistral:latest
214,A group of four, friends decided to go hiking together.,mistral:latest
215,Arabic man walking across a red, desert,mistral:latest
216,A young man wearing a hood standing in, a dark alley seemed suspicious,mistral:latest
217,One of the many volleyball, teams had just scored a point,mistral:latest
218,The beautiful lady, walked gracefully down the aisle,mistral:latest
219,Guy with a hat, Guy with a hat seemed mysterious,mistral:latest
220,A cleaning lady walks down the road with a sweeping machine what, because she's tidying up for an event,mistral:latest
221,Crowd watches a street, performance by breakdancers,mistral:latest
222,A man wearing a helmet is, riding a motorcycle,mistral:latest
223,Man in scrubs yawns next, to finish his long shift at the hospital,mistral:latest
224,A group of South African runners, were setting new records at the marathon,mistral:latest
225,A woman in a gray, dress approached slowly.,mistral:latest
226,A man wearing a navy sweater and, glasses approached slowly.,mistral:latest
227,A Man holding flowers while a dog, approached cautiously,mistral:latest
228,A woman breastfeeds her child while, she watches a movie on TV,mistral:latest
229,A man bundled up in the cold weather up in, because he had no home to return to,mistral:latest
230,Six children and two adults playing on, a sandy beach together,mistral:latest
231,A woman in a black and white checkered shirt is coloring in, a beautiful picture of her cat.,mistral:latest
232,A man trying to, save his drowning dog.,mistral:latest
233,A brown dog barks over its, fence at passersby,mistral:latest
234,Two parents with two children and others dressed, were arriving at the park for a family picnic.,mistral:latest
235,Child opening up, about their feelings for the first time,mistral:latest
236,A fireman begins to cross the, a burning bridge,mistral:latest
237,A little girl stands in a puddle, ...and makes a wish on her first raindrop.,mistral:latest
238,A group of young people sit together on the, discussing their dreams for the future.,mistral:latest
239,Two mothers stroll their children in the, park because they want them to enjoy fresh air,mistral:latest
240,A baseball player in a white outfit, ...was pitching flawlessly under the spotlight.,mistral:latest
241,A man and women are holding hands and dancing with many people in, a lively atmosphere around them,mistral:latest
242,A deep sea, diver discovered a hidden treasure chest.,mistral:latest
243,"There is a large gathering of people, with two men in white shirts and one with a flag draped over him in", standing on stage delivering speeches.,mistral:latest
244,Young male walking past, a group of protesters holding signs,mistral:latest
245,Two men pose, for a photograph near the famous landmark,mistral:latest
246,A paddle boarder wearing a wetsuit, was navigating through rough waters,mistral:latest
247,The white dog next to the brown, door had just given birth to a litter of puppies.,mistral:latest
248,Two men dressed in winter coats are standing outside in the snow, ...arguing over who brought the least amount of salt for their soup.,mistral:latest
249,Female basketball players, were dominating on the court,mistral:latest
250,two women walk down," a busy street together, laughing and chatting.",mistral:latest
251,Two women walking," near each other, started arguing over a misunderstanding",mistral:latest
252,A woman with her hair in a ponytail chose, to sit at the empty table near the window.,mistral:latest
253,A black-haired man talks, about his mysterious past,mistral:latest
254,A man is standing in, front of a mysterious door.,mistral:latest
255,A toddler boy in a red tank top and khaki shorts walks on the European street,...toward an ice cream truck with wide-eyed excitement,mistral:latest
256,An older individual crosses the street on what seems to be, a cane for support.,mistral:latest
257,Many people are gathered on the side of a, street to watch a parade passing by,mistral:latest
258,Two friends hold onto each other smiling, as they realized their friendship had overcome all obstacles.,mistral:latest
259,Two children run and, play tag on the field,mistral:latest
260,A man and woman kiss as they, ...the clock struck midnight.,mistral:latest
261,"A woman walking in rain, with", umbrella upside down over her head to keep herself dry,mistral:latest
262,A toddler sitting in a portable highchair enjoys a snack on the grass, while being supervised by his parents,mistral:latest
263,Two dogs, were barking loudly at each other.,mistral:latest
264,"One Caucasian woman walks among an ethnically diverse group of pedestrians, crossing", ...drawing admiring glances from many around her.,mistral:latest
265,Random people at an, park were approaching to ask for directions.,mistral:latest
266,The boy in blue shorts is, running towards the finish line.,mistral:latest
267,A woman in a multicolored top is walking down the street and, ...with her dog by her side.,mistral:latest
268,A group of people build a, shelter to protect themselves from the storm.,mistral:latest
269,"Four cheerleaders in white, gray, and orange uniforms", were performing their synchronized routine on the field.,mistral:latest
270,A man in a suit, walked into the room unexpectedly,mistral:latest
271,A boy jumping off, a diving board into the pool,mistral:latest
272,Crowds stroll past an elegant, mansion on a sunny afternoon.,mistral:latest
273,"A man poses for a little girl, his arms outstretched,", ...because she wanted to take a picture with him.,mistral:latest
274,A classroom is performing, a play for parents' night,mistral:latest
275,Several young girls are sitting on the," grass, chatting excitedly about their dreams.",mistral:latest
276,A guard is on the look, duty at all times,mistral:latest
277,A panned back shot of some children playing soccer on a makeshift soccer, field revealed their teacher watching from afar.,mistral:latest
278,A girl wearing pink goggles is underwater as water escapes in the, from her snorkel,mistral:latest
279,"Two men, one in a gray shirt and one in"," a red tie, were arguing over politics.",mistral:latest
280,A young boy wearing a hat made out of, paper ran through the park.,mistral:latest
281,Two men are, arguing over a misunderstanding.,mistral:latest
282,A group of people is standing around and a guy, ...is about to give an important announcement.,mistral:latest
283,A Toddler wearing a dark blue jacket and knit cap is standing on gravel and pointing, at a large red balloon floating away.,mistral:latest
284,Two young women pose and smile, for a stunning photograph,mistral:latest
285,A man in a red cap and blue jeans is riding a bike that, ...down the busy street at high speed,mistral:latest
286,Two middle Eastern men, were discussing politics passionately,mistral:latest
287,A girl kisses her mother goodbye before she waits, for the bus to school,mistral:latest
288,A very young girl with a green coat and red rain boots putting her foot in the, mud puddle to make a splash,mistral:latest
289,A man in a gray striped shirt, walked into the room unexpectedly,mistral:latest
290,A man drinking a beverage and holding a plastic, bag at the beach.,mistral:latest
291,A long-haired dog runs across a lawn with," joyfully, chasing its tail",mistral:latest
292,"Colored lights illuminate three barefoot dancers in shades of pink, red, and blue as they", perform an enchanting ballet under a starlit sky,mistral:latest
293,Seven people are sitting at a picnic table, ...enjoying their lunch together,mistral:latest
294,A woman wearing a black shirt is pointing to glass, ...because she saw a spider on it.,mistral:latest
295,A skateboarder performing a, trick on a half-pipe lost control.,mistral:latest
296,A group of Asian, tourists were visiting the ancient temples.,mistral:latest
297,A group of Asian young adults are, planning a traditional dance performance.,mistral:latest
298,"Gray-haired black male, wearing a white jacket and black", ...stood out among the crowd.,mistral:latest
299,A early-bald man puts on, a wig every day to hide his baldness.,mistral:latest
300,"2 guys one is a gymnast whom is performing, the other stretching and", ...is taking videos to share on social media.,mistral:latest
301,A man is spinning in the air above a, ...because he just jumped from a trampoline.,mistral:latest
302,Group of rollerskaters in, were skating down the hill carefree,mistral:latest
303,Man in shorts and t-shirt walking and holding a, a frisbee in his hand,mistral:latest
304,A young boy wearing white shorts and a blue, t-shirt ran excitedly towards the ice cream truck.,mistral:latest
305,The Workers using a truck to distribute rocks so, because there wasn't enough space for manual transportation,mistral:latest
306,A beautiful asian lady standing in a crosswalk in a," city center, waiting for the traffic to pass.",mistral:latest
307,small blond girl balances on one foot on a sandy rock while, trying to catch butterflies with her net,mistral:latest
308,A man with a backpack makes a video of another, ...attracting attention from nearby tourists.,mistral:latest
309,A child in a jean jacket smiles, at seeing his favorite cartoon character on TV.,mistral:latest
310,A child with blond-hair is reading a, book under the tree.,mistral:latest
311,The two men drive off in a small silver, car after exchanging heated words,mistral:latest
312,A snowboarder performing a trick high in, above the mountain peak lost control,mistral:latest
313,Two men are using two horse, to race each other across the field.,mistral:latest
314,A baseball player tries to slide into third base while, The umpire calls him out for interference.,mistral:latest
315,A toddler in a red toy car, was trying to keep up with his older siblings,mistral:latest
316,An elephant wearing a red and blue, sweater walked down the street.,mistral:latest
317,4 young adults are lined up to, for a job interview at Google's headquarters.,mistral:latest
318,Boy runs through the, park to avoid getting caught,mistral:latest
319,A young male child running, ...towards his mother's outstretched arms,mistral:latest
320,A catcher in a baseball game in the act of, throwing out an opposing player trying to steal a base,mistral:latest
321,People flying their kites, were enjoying a beautiful day at the park,mistral:latest
322,Protesters wearing yellow scarves and helmets form a human wall, to block police from entering the protest area,mistral:latest
323,Man working a machine, because it broke down unexpectedly,mistral:latest
324,A man and woman are kissing and,...in a romantic gesture of affection.,mistral:latest
325,A man with shaved head on, ...was trying to solve a complex mathematical problem.,mistral:latest
326,a young long girl, walked through the enchanted forest.,mistral:latest
327,A woman holds a black and pink striped bag among, ...and walks towards her favorite vintage clothing store.,mistral:latest
328,Kids are playing in the ocean on, a hot summer day,mistral:latest
329,Two young children are, playing hide-and-seek in the park.,mistral:latest
330,Girl with long brown hair sitting on, a bench reading a book.,mistral:latest
331,A black and brown dog wearing a, collar ran across the park.,mistral:latest
332,The dog is standing outside,because it's too hot inside,mistral:latest
333,Seven people are taking a break from skiing, because they're too tired to continue,mistral:latest
334,A bearded hairy musician happily plays his, guitar on stage,mistral:latest
335,Four children hold hands and, as they cross a busy street together.,mistral:latest
336,A couple sits together, on a park bench enjoying their lunch.,mistral:latest
337,Many people sit or stand around the, waiting for their turn to speak.,mistral:latest
338,A girl at her, party had invited everyone she knew.,mistral:latest
339,a young child swimming in a pool, without adult supervision.,mistral:latest
340,Individuals sit contently on park benches under newly, blooming cherry blossom trees,mistral:latest
341,Four women sitting on green outdoor furniture on a patio, were discussing their shared love for gardening,mistral:latest
342,A young lady in a light blue outfit, walked gracefully across the room.,mistral:latest
343,Two men taking a picture together with the, ...because they wanted to remember this moment forever.,mistral:latest
344,group of African children sitting a," near an open marketplace, selling colorful beads.",mistral:latest
345,Two officers are riding horses in the, parade to show their pride for their city.,mistral:latest
346,A boy in a striped shirt is preparing to, for his science fair project presentation.,mistral:latest
347,Woman on a motorcycle, rode too fast through traffic,mistral:latest
348,"A bus full of people, among them a small boy in", were on their way home after an exciting field trip.,mistral:latest
349,A woman swinging a, a bat at the baseball field,mistral:latest
350,Many children are sitting in a classroom, waiting for their teacher to arrive,mistral:latest
351,A man in a striped shit standing in front," of a large mirror, adjusting his tie.",mistral:latest
352,Two people are sitting down across, from each other at a table,mistral:latest
353,The man is jumping over, a fence to catch his runaway dog.,mistral:latest
354,A group of people are backpacking, through the wilderness for a week.,mistral:latest
355,A man and a woman locking arms (wearing expensive clothing) next to glass display, were admiring their new luxury car purchase,mistral:latest
356,Two brown dogs are playing with each other on the,...in a field full of daisies.,mistral:latest
357,A child bolts from a bench, because they saw an ice cream truck,mistral:latest
358,A man is launched into the, space for a record-breaking mission.,mistral:latest
359,A male is, running for political office despite his controversial past,mistral:latest
360,A middle-aged ethnic woman carrying a bundle of sticks, ...was on her way home from gathering firewood.,mistral:latest
361,A young woman and a young man are stretching, before they start their yoga practice.,mistral:latest
362,Two men on horses race around the ring, ...to see who can jump over obstacles first,mistral:latest
363,A baby boy in, ...was born to a family who couldn't wait to meet their new addition.,mistral:latest
364,A man in a tan hat and, coat walked down the street.,mistral:latest
365,An officer stands next to a, suspect who has been arrested,mistral:latest
366,Young child makes a, mess while playing with paint.,mistral:latest
367,Three women in dark shawls and hats talk on a brick, about their shared secrets,mistral:latest
368,A little baby girl in a blue top and cap, ...was sleeping peacefully,mistral:latest
369,A group of climbers in silhouette stare, at the treacherous mountain peak ahead,mistral:latest
370,A man is holding onto, a ledge to prevent falling off,mistral:latest
371,A group of people in jeans and white shirts, were attending a company event,mistral:latest
372,A boy in a green and yellow t-shirt is, playing soccer on the field.,mistral:latest
373,"The brown, white and black dog", ran through the park excitedly.,mistral:latest
374,"Two large black dogs, one with a ball in", were chasing each other playfully around the park.,mistral:latest
375,Six women are sitting on a brick bench and wearing, colorful dresses,mistral:latest
376,A man kicking, a ball down the street,mistral:latest
377,Dog on leash burrows into, sand pit to find buried toys,mistral:latest
378,A man adjusts some, settings on his hearing aid.,mistral:latest
379,"A young male in a hat, green shirt and black pants is riding his skateboard at the top", of the hill quickly,mistral:latest
380,Toddlers playing with yellow, blocks,mistral:latest
381,a surfer is riding a wave, because it's his favorite thing to do,mistral:latest
382,A woman wearing a white shirt jumps in the, pool to cool off on such a hot day.,mistral:latest
383,Man walking down street with, a large bag full of books,mistral:latest
384,A little girl is swinging in a, park on her favorite swing.,mistral:latest
385,Three large black dogs are, roaming around the park at night.,mistral:latest
386,An old man in a white shirt is," sitting on a park bench, humming an old tune.",mistral:latest
387,A woman carrying a bag with a little girl in a pink dress walking behind, entered the crowded marketplace,mistral:latest
388,A man has jumped from a, building to save a child.,mistral:latest
389,Three men standing in, near a mysterious chest.,mistral:latest
390,Two black and white dogs, were playing fetch together,mistral:latest
391,A young boy with black hair and tie-dyed shirt and jeans and an older man balding, ...was arguing over a game they both passionately loved.,mistral:latest
392,A man is carrying a little, girl on his shoulders.,mistral:latest
393,A man wears white socks with beat up, black shoes to make a fashion statement.,mistral:latest
394,A female softball player wearing a pink jersey is trying to tag out, another player who's about to reach home plate,mistral:latest
395,A young woman wearing a white dress with a blue towel in her lap is," sitting on the beach, sunbathing.",mistral:latest
396,A person in a gray hat and navy jacket is standing outside of a shop with,...waiting for their friend to buy something.,mistral:latest
397,an ice climber in a blue jacket and black, ...was preparing for his next ascent,mistral:latest
398,A man in shorts visiting a, from a tropical island.,mistral:latest
399,An elderly outdoor market vegetable vendor sits with," a worn-out straw hat on his lap, humming an old tune.",mistral:latest
400,A man and woman pull their wheeled luggage down, a long corridor towards the departure gate,mistral:latest
401,A middle-aged couple is at the foreground of a scene, ...arguing over their differing opinions on how to solve their financial problems.,mistral:latest
402,A girl looking through a large, telescope at night saw a shooting star,mistral:latest
403,Gymnast in green and black supporting herself upside down with her arms, ...on the balance beam during practice.,mistral:latest
404,People are having leisure, activities at the park,mistral:latest
405,A red-haired girl poses in, a stunning ballet dance pose,mistral:latest
406,Nine black and brown pugs in harnesses, were taking a group walk through the park,mistral:latest
407,"Three men, one with a fishing pole,", were trying to catch fish near the riverbank.,mistral:latest
408,A man with a backpack pushes a stroller while, walking his baby daughter.,mistral:latest
409,Two women talk while standing, near their children playing on a swing set.,mistral:latest
410,"A man in athletic clothing, bending", over to pick up a dropped object.,mistral:latest
411,A dog jumps and, over the fence to chase a ball.,mistral:latest
