index,Xi,Xj,model
112,We were walking toward the car when,the owner approached us with a surprise offer,qwen2.5:latest
113,I couldn’t believe what I saw when,I saw the transformation in her eyes,qwen2.5:latest
114,She was adjusting her glasses when,she noticed something unusual on a nearby shelf.,qwen2.5:latest
115,He glanced at the clock and,realized he had been waiting for over an hour.,qwen2.5:latest
116,They had just finished dinner when,the dessert arrived.,qwen2.5:latest
117,I was opening the window when,the wind suddenly blew shut both windows.,qwen2.5:latest
118,She looked at her reflection in the mirror and,realized she had forgotten to put on makeup,qwen2.5:latest
119,He started the engine and,roared off towards his destination,qwen2.5:latest
120,I was listening to the radio when,the news about a major storm hit.,qwen2.5:latest
121,They were making plans to leave when,the door suddenly opened and someone entered.,qwen2.5:latest
122,The fire crackled in the hearth as,the snow fell gently outside.,qwen2.5:latest
123,She was organizing her desk when,she realized she had misplaced her keys.,qwen2.5:latest
124,He looked out the window and noticed,the sky turning dark gray,qwen2.5:latest
125,I was pouring a glass of water when,the countertop slipped and spilled it everywhere.,qwen2.5:latest
126,She was about to sign the contract when,the lawyer pointed out a critical loophole.,qwen2.5:latest
127,The wind picked up as,the storm began to rage.,qwen2.5:latest
128,He was waiting at the station when,the train finally arrived,qwen2.5:latest
129,I couldn’t remember where I left,my phone,qwen2.5:latest
130,"She had been studying all night, and",she finally passed her exam.,qwen2.5:latest
131,"They decided to go for a walk, but",the weather turned out to be terrible.,qwen2.5:latest
132,He turned on the TV and,watched an old movie marathon,qwen2.5:latest
133,I was halfway through my workout when,the alarm went off unexpectedly,qwen2.5:latest
134,She was tying her shoes when,the bell rang suddenly.,qwen2.5:latest
135,He checked his email and saw,a new job offer notification,qwen2.5:latest
136,We were getting ready to board the plane when,the flight attendant announced a delay due to bad weather.,qwen2.5:latest
137,The room was silent as,the tension built up between them.,qwen2.5:latest
138,She took out her phone and,dialed her friend for a ride home.,qwen2.5:latest
139,He opened the door and found,the house empty,qwen2.5:latest
140,I was cleaning the kitchen when,the phone rang unexpectedly.,qwen2.5:latest
141,She was putting on her coat when,the doorbell rang unexpectedly.,qwen2.5:latest
142,He looked up from his book and,saw a shadow approaching.,qwen2.5:latest
143,The candle flickered as,the wind blew through the open window,qwen2.5:latest
144,She had just finished her coffee when,she realized she needed to leave for an important meeting.,qwen2.5:latest
145,I was typing an email when,the computer suddenly crashed.,qwen2.5:latest
146,He stepped outside and,saw a beautiful sunset,qwen2.5:latest
147,She was adjusting her seatbelt when,the accident happened,qwen2.5:latest
148,"I heard a knock at the door, and",I opened it to find a delivery person.,qwen2.5:latest
149,The clock was ticking as,time ran out quickly,qwen2.5:latest
150,He was locking the door when,the owner returned home,qwen2.5:latest
151,I was looking for my wallet when,it disappeared into a nearby crowd.,qwen2.5:latest
152,They were just about to sit down when,the host announced unexpected guests would be arriving.,qwen2.5:latest
153,She opened her notebook and,started writing down notes,qwen2.5:latest
154,He took a sip of water and,continued his lecture.,qwen2.5:latest
155,I had just started the car when,the engine died loudly,qwen2.5:latest
156,"The elevator doors opened, and",a strange man stepped out,qwen2.5:latest
157,She was brushing her hair when,she heard a strange noise outside.,qwen2.5:latest
158,"He turned the key, but",the engine didn't start.,qwen2.5:latest
159,"The oven timer beeped, and",I rushed to turn off the cake.,qwen2.5:latest
160,I was packing my suitcase when,the flight attendant announced boarding had started.,qwen2.5:latest
161,She reached for the remote control and,turned on the TV to watch her favorite show,qwen2.5:latest
162,He was standing in line when,he saw someone he knew.,qwen2.5:latest
163,I was flipping through a magazine when,I stumbled upon an old photograph,qwen2.5:latest
164,"The rain began to fall, and",the ground started to soak up quickly.,qwen2.5:latest
165,She was about to turn off the light when,she heard a strange noise,qwen2.5:latest
166,He was putting on his jacket when,he heard a knock at the door,qwen2.5:latest
167,"I heard footsteps behind me, and",I turned around to see who it was.,qwen2.5:latest
168,They were checking their tickets when,the train arrived at the station,qwen2.5:latest
169,She looked up from her laptop and,saw a shadow moving outside the window.,qwen2.5:latest
170,He was unlocking the car door when,he heard a strange noise coming from inside.,qwen2.5:latest
171,The wind rustled the leaves as,the gentle breeze passed through the trees.,qwen2.5:latest
172,I was scrolling through my phone when,I received a notification,qwen2.5:latest
173,She was pouring a cup of coffee when,the aroma filled the room,qwen2.5:latest
174,He had just finished his presentation when,the audience started asking difficult questions.,qwen2.5:latest
175,The music was playing softly as,the couple danced slowly under the moonlight.,qwen2.5:latest
176,I was standing by the window when,the rain started pouring down.,qwen2.5:latest
177,She reached for her glasses and,put them on to read the menu more clearly,qwen2.5:latest
178,He was buttoning his shirt when,he heard a sudden knock on the door.,qwen2.5:latest
179,The birds were chirping as,the sun rose over the horizon,qwen2.5:latest
180,I was writing a message when,my phone suddenly died.,qwen2.5:latest
181,She was flipping through the channels when,the news about a local festival caught her attention.,qwen2.5:latest
182,He was about to send the email when,he realized there was an error in the attachment.,qwen2.5:latest
183,The bus was approaching the stop when,the driver slowed down to pick up passengers.,qwen2.5:latest
184,I had just sat down to dinner when,the phone rang unexpectedly.,qwen2.5:latest
185,She was putting on her makeup when,the alarm clock suddenly rang.,qwen2.5:latest
186,He opened his notebook and,started writing down ideas quickly.,qwen2.5:latest
187,The breeze was cool as,it blew through the open window.,qwen2.5:latest
188,I was adjusting the thermostat when,the power went out.,qwen2.5:latest
189,She was organizing her closet when,she realized she had outgrown most of her clothes.,qwen2.5:latest
190,He picked up the pen and,started to write a letter to his friend.,qwen2.5:latest
191,I was standing in line when,the person ahead of me started a conversation.,qwen2.5:latest
192,She was walking toward the building when,she noticed someone following her.,qwen2.5:latest
193,The moon was shining brightly as,the night breeze whispered through the trees.,qwen2.5:latest
194,I was just about to fall asleep when,the phone rang loudly.,qwen2.5:latest
195,She opened her laptop and,started working on her presentation,qwen2.5:latest
196,He was reading the instructions when,the manual arrived at his doorstep.,qwen2.5:latest
197,The clouds were gathering as,the storm approached rapidly.,qwen2.5:latest
198,I was on my way to the appointment when,I encountered unexpected traffic congestion,qwen2.5:latest
199,She was unlocking the front door when,the key finally fit into the lock.,qwen2.5:latest
200,He was finishing up his report when,he realized there were still crucial details missing.,qwen2.5:latest
201,The sky was turning dark as,the storm approached rapidly.,qwen2.5:latest
202,I was about to leave the office when,the boss called for an urgent meeting.,qwen2.5:latest
203,She was searching for her keys when,the doorbell rang unexpectedly.,qwen2.5:latest
204,He stepped out of the elevator and,walked into the bustling hallway,qwen2.5:latest
205,The waves lapped against the shore as,the sun began to set on a peaceful evening.,qwen2.5:latest
206,I was waiting for the bus when,I saw an old friend.,qwen2.5:latest
207,She was reviewing her notes when,the exam铃声响起。,qwen2.5:latest
208,He was packing his bag when,he remembered he had forgotten something important.,qwen2.5:latest
209,The snow was falling gently as,it blanketed the quiet town.,qwen2.5:latest
210,I was looking out the window when,the storm began to rage outside,qwen2.5:latest
211,She was getting ready for bed when,the power went out.,qwen2.5:latest
212,He was checking his watch when,he realized he was running late,qwen2.5:latest
213,The smell of freshly baked bread filled the air as,the warm oven released its delightful aroma into the room.,qwen2.5:latest
214,I was sipping my coffee when,the morning alarm suddenly rang.,qwen2.5:latest
215,She was flipping through a magazine when,she stumbled upon an old photograph.,qwen2.5:latest
216,He was just about to finish when,the bell rang unexpectedly,qwen2.5:latest
217,The clock was ticking loudly as,the exam began in just a few minutes.,qwen2.5:latest
218,I was browsing the internet when,I stumbled upon an interesting article,qwen2.5:latest
219,She was putting on her shoes when,the doorbell rang unexpectedly.,qwen2.5:latest
220,The sun was setting slowly as,the last rays painted the sky in vibrant oranges and pinks,qwen2.5:latest
221,I was waiting for my turn when,the person in front of me took longer than expected,qwen2.5:latest
222,She was about to answer the phone when,the call went to voicemail.,qwen2.5:latest
223,He had just locked the door when,the unexpected guest arrived.,qwen2.5:latest
224,The streetlights flickered as,the night grew darker and stormier.,qwen2.5:latest
225,I was getting dressed when,the phone rang unexpectedly.,qwen2.5:latest
226,She was opening her mail when,she found a letter from her long-lost cousin.,qwen2.5:latest
227,He was writing a letter when,the door suddenly rang.,qwen2.5:latest
228,The sound of laughter filled the room as,the party reached its peak excitement.,qwen2.5:latest
229,I was reading the instructions when,the power suddenly went out.,qwen2.5:latest
230,She was looking through her emails when,she received a surprising message.,qwen2.5:latest
231,He was putting his things away when,the doorbell rang unexpectedly.,qwen2.5:latest
232,The stars twinkled in the sky as,the night breeze gently caressed the earth.,qwen2.5:latest
233,I was about to grab a snack when,the doorbell rang unexpectedly.,qwen2.5:latest
234,She was zipping up her bag when,she realized she had forgotten her umbrella.,qwen2.5:latest
235,He was flipping through the pages of the book when,he stumbled upon a hidden message.,qwen2.5:latest
236,The car slowed down as,it approached the school zone.,qwen2.5:latest
237,I was going through my paperwork when,I received an unexpected letter,qwen2.5:latest
238,She was just about to leave when,the door suddenly opened.,qwen2.5:latest
239,He was talking on the phone when,the call dropped suddenly,qwen2.5:latest
240,The lights dimmed as,the curtain rose on the performance,qwen2.5:latest
241,I was checking my messages when,I received an urgent notification,qwen2.5:latest
242,She was about to send the text when,she realized she might have made a mistake in her message.,qwen2.5:latest
243,"He reached for the remote control, but",he found that all batteries were dead.,qwen2.5:latest
244,The wind was howling as,the trees swayed violently in response.,qwen2.5:latest
245,I was organizing my files when,I found an old photo,qwen2.5:latest
246,She was stirring her tea when,the phone rang unexpectedly.,qwen2.5:latest
247,He had just finished his breakfast when,he realized he left his keys at home.,qwen2.5:latest
248,The rain was pouring down as,the thunderstorm raged on outside,qwen2.5:latest
249,I was going through my notes when,I found an old photograph,qwen2.5:latest
250,She was typing an email when,the power suddenly went out.,qwen2.5:latest
251,He looked at the calendar and,realized it was already December,qwen2.5:latest
252,The sun was high in the sky as,the temperature started to rise rapidly.,qwen2.5:latest
253,I was getting ready to leave when,the doorbell rang unexpectedly.,qwen2.5:latest
254,She was buckling her seatbelt when,the car suddenly started moving.,qwen2.5:latest
255,He was reaching for his coffee when,he spilled it on himself,qwen2.5:latest
256,The clouds were parting as,the sun began to shine through,qwen2.5:latest
257,I was just about to call when,the phone rang unexpectedly,qwen2.5:latest
258,She was writing something down when,the phone suddenly rang.,qwen2.5:latest
259,He had just stepped outside when,the door suddenly burst open,qwen2.5:latest
260,The phone rang just as,she was about to hang up.,qwen2.5:latest
261,I was putting away the groceries when,the doorbell rang unexpectedly.,qwen2.5:latest
262,She was hanging up the phone when,she realized she had forgotten an important detail.,qwen2.5:latest
263,He was about to say something when,the door suddenly opened,qwen2.5:latest
264,The breeze was gentle as,it caressed the rustling leaves.,qwen2.5:latest
265,I was running errands when,I received a urgent call,qwen2.5:latest
266,She was just about to close the door when,she noticed someone hiding behind the curtain.,qwen2.5:latest
267,He was drinking his coffee when,the morning sun started to shine through the window.,qwen2.5:latest
268,The computer screen flickered as,the power went out for a moment.,qwen2.5:latest
269,I was picking out an outfit when,I found one that matched my shoes,qwen2.5:latest
270,She was standing in the hallway when,the doorbell rang unexpectedly.,qwen2.5:latest
271,He was trying to remember something when,he suddenly recalled an old memory,qwen2.5:latest
272,The moonlight illuminated the path as,it guided us through the night.,qwen2.5:latest
273,I was just about to walk in when,the door suddenly opened,qwen2.5:latest
274,She was adjusting her scarf when,she noticed a familiar face passing by.,qwen2.5:latest
275,He had just started cooking when,the power went out.,qwen2.5:latest
276,The leaves rustled as,the wind gently passed by,qwen2.5:latest
277,I was finishing my homework when,the power went out.,qwen2.5:latest
278,She was putting away her books when,the doorbell rang unexpectedly.,qwen2.5:latest
279,He was walking toward the exit when,"the door suddenly opened, revealing a surprise visitor.",qwen2.5:latest
280,The birds were singing as,the sun rose over the horizon,qwen2.5:latest
281,I was standing by the door when,the bell rang,qwen2.5:latest
282,She was fastening her seatbelt when,the car suddenly started moving.,qwen2.5:latest
283,He was making a cup of tea when,the phone rang unexpectedly.,qwen2.5:latest
284,The wind blew softly as,it caressed the rustling leaves.,qwen2.5:latest
285,I was reaching for my phone when,the doorbell rang unexpectedly.,qwen2.5:latest
286,She was sorting through the papers when,the phone rang unexpectedly.,qwen2.5:latest
287,He was lacing up his shoes when,he heard a strange noise outside.,qwen2.5:latest
288,The rain started to pour as,the thunderstorm began to rage overhead,qwen2.5:latest
289,I was stepping outside when,the door suddenly burst open.,qwen2.5:latest
290,She was sipping her tea when,the phone rang unexpectedly.,qwen2.5:latest
291,He was gazing out the window when,the storm began to rage outside,qwen2.5:latest
292,The light was fading as,the sun began to set below the horizon.,qwen2.5:latest
293,I was unlocking the door when,the key finally fit into place,qwen2.5:latest
294,She was folding the laundry when,the phone rang unexpectedly.,qwen2.5:latest
295,He was writing down the address when,the phone rang unexpectedly.,qwen2.5:latest
296,The clouds were heavy as,it seemed like it was going to rain.,qwen2.5:latest
297,I was packing up my things when,the doorbell rang unexpectedly.,qwen2.5:latest
298,She was placing her order when,the restaurant went on break.,qwen2.5:latest
299,He was checking his pockets when,he realized he had forgotten his keys.,qwen2.5:latest
300,The music was fading as,the last notes drifted softly to silence.,qwen2.5:latest
301,I was dusting the shelves when,the phone rang unexpectedly.,qwen2.5:latest
302,She was zipping up her suitcase when,she realized she had forgotten to pack her passport.,qwen2.5:latest
303,He was reaching for the light switch when,the power went out.,qwen2.5:latest
304,The car engine roared to life as,the driver turned the key.,qwen2.5:latest
305,I was standing in the kitchen when,the aroma of baking bread filled the air,qwen2.5:latest
306,She was preparing her lunch when,the bell rang unexpectedly.,qwen2.5:latest
307,He was locking the car when,the owner returned unexpectedly.,qwen2.5:latest
