index,Xi,Xj,model
51,He stared at the computer screen and,was wondering if his project had been accepted.,llama3.2
52,I was on my way to the store when,...I received a call from an unknown number.,llama3.2
53,She looked out the window and,saw a beautiful sunrise unfolding.,llama3.2
54,The crowd cheered loudly as,the fireworks exploded in perfect synchrony.,llama3.2
55,He had been waiting for hours when,for his flight to be called.,llama3.2
56,"The rain started to fall, and",and caused widespread flooding.,llama3.2
57,She was on the verge of tears when,was about to reveal her true feelings.,llama3.2
58,He picked up the phone and,"and answered with a hesitant ""Hello?""",llama3.2
59,They were packing their bags when,they realized they had forgotten to book a flight.,llama3.2
60,The sun was setting as,over the vast ocean.,llama3.2
61,I couldn't remember where I put,my car keys.,llama3.2
62,"He was trying to focus, but",his mind kept wandering back to her.,llama3.2
63,I heard a strange noise coming from,underneath my bedroom floor.,llama3.2
64,She opened the letter and,found out she had been accepted to her dream college.,llama3.2
65,The lights flickered as,the old building began to collapse.,llama3.2
66,He was just about to leave when,when his phone rang.,llama3.2
67,"The doorbell rang, and she",was surprised to see her long-lost sister standing on her porch.,llama3.2
68,She was about to speak when,the doorbell rang again.,llama3.2
69,I was looking for my keys when,when they suddenly disappeared from sight.,llama3.2
70,"The bus pulled up to the stop, and",at the door stood a young woman.,llama3.2
71,"I was running late, so",I had to rush out of the house.,llama3.2
72,She took a deep breath and,and stepped out into the bright sunlight.,llama3.2
73,He was lost in thought when,because he realized his true passion.,llama3.2
74,"The package arrived, but",was damaged during shipping.,llama3.2
75,We were standing at the edge of the cliff when,we saw a figure in the distance.,llama3.2
76,She was flipping through the pages of the book when,when she stumbled upon a familiar face from her past.,llama3.2
77,"The phone rang, and I",was waiting for an important call.,llama3.2
78,He opened the refrigerator and,found a half-eaten sandwich from last night.,llama3.2
79,I couldn't sleep last night because,I had a bad dream.,llama3.2
80,The cat jumped onto the table and,...knocked over a vase.,llama3.2
81,She whispered softly before,...the door closed behind her.,llama3.2
82,He was about to sit down when,when his phone started ringing nonstop.,llama3.2
83,We were getting ready to leave when,when we heard a loud noise outside.,llama3.2
84,She opened the door and saw,a figure from her past standing in the shadows.,llama3.2
85,I was walking through the park when,I saw a couple having a romantic picnic.,llama3.2
86,"The teacher handed out the papers, and",and told them to start working on their math homework.,llama3.2
87,They were laughing together when,until they stumbled upon a hidden room.,llama3.2
88,"The clock struck midnight, and",the witching hour had begun.,llama3.2
89,She was waiting at the bus stop when,when she realized she had forgotten her lunch.,llama3.2
90,He turned the corner and saw,his old high school.,llama3.2
91,I was about to call you when,when my phone died suddenly.,llama3.2
92,She dropped her bag and,ran as fast as she could.,llama3.2
93,The boat rocked gently as,the waves crashed against its hull.,llama3.2
94,He was watching TV when,when his little sister walked into the room.,llama3.2
95,I was on my way home when,when suddenly a strong gust of wind blew.,llama3.2
96,They had just arrived at the restaurant when,when they were greeted by a long waitlist.,llama3.2
97,"The plane took off, and I",wasn't sure if we would make it to our destination on time.,llama3.2
98,He leaned against the wall and,waited for what felt like an eternity.,llama3.2
99,The sun was shining brightly as,in a clear blue summer sky.,llama3.2
100,I was about to get up when,when my alarm suddenly stopped ringing.,llama3.2
101,He poured himself a cup of coffee and,sat down to enjoy his morning.,llama3.2
102,"As soon as I arrived, I",at the airport in time for my flight.,llama3.2
103,He was holding a cup of tea when,he received an unexpected phone call.,llama3.2
104,The road stretched out before them as,into a seemingly endless expanse.,llama3.2
105,She reached into her bag and,found a twenty-dollar bill.,llama3.2
106,I had just finished eating when,a loud knock at the door interrupted my thoughts.,llama3.2
107,"The sun peeked through the clouds, and",and cast a warm glow over everything.,llama3.2
108,They were sitting quietly when,in a sudden burst of laughter.,llama3.2
109,"Before he could react, she",had already slipped away into the night.,llama3.2
110,The waves crashed against the shore as,the sun set over the ocean.,llama3.2
111,He picked up the book and,and began to read it eagerly.,llama3.2
112,We were walking toward the car when,when we realized our keys were still inside.,llama3.2
113,I couldn’t believe what I saw when,when a group of wild animals suddenly appeared in my backyard.,llama3.2
114,She was adjusting her glasses when,when she realized she had forgotten her homework.,llama3.2
115,He glanced at the clock and,was running late for his job interview.,llama3.2
116,They had just finished dinner when,when they heard a strange noise outside.,llama3.2
117,I was opening the window when,I heard a strange noise coming from outside.,llama3.2
118,She looked at her reflection in the mirror and,was taken aback by how old she had become.,llama3.2
119,He started the engine and,and hit the gas pedal.,llama3.2
120,I was listening to the radio when,when a song came on that reminded me of my childhood.,llama3.2
121,They were making plans to leave when,when they received an unexpected phone call.,llama3.2
122,The fire crackled in the hearth as,the flames danced higher.,llama3.2
123,She was organizing her desk when,when she realized she had forgotten to pack her lunch.,llama3.2
124,He looked out the window and noticed,the dark clouds gathering on the horizon.,llama3.2
125,I was pouring a glass of water when,when suddenly my cat jumped onto the counter.,llama3.2
126,She was about to sign the contract when,the lawyer warned her about potential loopholes.,llama3.2
127,The wind picked up as,as dark clouds gathered on the horizon.,llama3.2
128,He was waiting at the station when,for his train to arrive.,llama3.2
129,I couldn’t remember where I left,my car keys.,llama3.2
130,"She had been studying all night, and",was exhausted when she finally fell asleep.,llama3.2
131,"They decided to go for a walk, but",in the pouring rain.,llama3.2
132,He turned on the TV and,and found himself watching an old rerun of his favorite childhood show.,llama3.2
133,I was halfway through my workout when,when suddenly I heard a loud noise behind me.,llama3.2
134,She was tying her shoes when,was walking down the stairs.,llama3.2
135,He checked his email and saw,that a package had been delivered to his doorstep.,llama3.2
136,We were getting ready to board the plane when,when we realized our passports had been lost in transit.,llama3.2
137,The room was silent as,because everyone knew something terrible had happened.,llama3.2
138,She took out her phone and,and dialed a number that she hadn't called in months.,llama3.2
139,He opened the door and found,a room filled with his childhood memories.,llama3.2
140,I was cleaning the kitchen when,when I accidentally knocked over a jar of flour.,llama3.2
141,She was putting on her coat when,was getting ready for a night out.,llama3.2
142,He looked up from his book and,saw a figure standing in front of him.,llama3.2
143,The candle flickered as,...the flame danced precariously.,llama3.2
144,She had just finished her coffee when,was she suddenly called to work.,llama3.2
145,I was typing an email when,the computer suddenly crashed.,llama3.2
146,He stepped outside and,into a world that had changed forever.,llama3.2
147,She was adjusting her seatbelt when,the car suddenly hit a pothole.,llama3.2
148,"I heard a knock at the door, and",and I slowly got up to answer it.,llama3.2
149,The clock was ticking as,as time ran out.,llama3.2
150,He was locking the door when,when suddenly he heard a noise.,llama3.2
151,I was looking for my wallet when,I had last seen it in the backseat.,llama3.2
152,They were just about to sit down when,when suddenly they heard a loud knock at the door.,llama3.2
153,She opened her notebook and,found a surprise gift from her grandmother.,llama3.2
154,He took a sip of water and,and immediately spat it out due to its extreme bitterness.,llama3.2
155,I had just started the car when,wasp spray.,llama3.2
156,"The elevator doors opened, and",and a group of people rushed in.,llama3.2
157,She was brushing her hair when,when she saw herself in the mirror.,llama3.2
158,"He turned the key, but",the door wouldn't budge.,llama3.2
159,"The oven timer beeped, and",went off to signal that dinner was ready.,llama3.2
160,I was packing my suitcase when,I had to leave for Paris.,llama3.2
161,She reached for the remote control and,turned on her favorite TV show.,llama3.2
162,He was standing in line when,waiting for his number to be called.,llama3.2
163,I was flipping through a magazine when,...I stumbled upon an article about my favorite band.,llama3.2
164,"The rain began to fall, and",...the streets quickly became flooded.,llama3.2
165,She was about to turn off the light when,the alarm started blaring loudly.,llama3.2
166,He was putting on his jacket when,was getting ready for a night out.,llama3.2
167,"I heard footsteps behind me, and",and they were getting closer.,llama3.2
168,They were checking their tickets when,the train conductor announced that everyone had to board.,llama3.2
169,She looked up from her laptop and,smiled at the person sitting across from her.,llama3.2
170,He was unlocking the car door when,when suddenly a figure emerged from the shadows.,llama3.2
171,The wind rustled the leaves as,of autumn began to set in.,llama3.2
172,I was scrolling through my phone when,when I saw a text from an old friend.,llama3.2
173,She was pouring a cup of coffee when,was suddenly interrupted by her phone.,llama3.2
174,He had just finished his presentation when,was met with a standing ovation.,llama3.2
175,The music was playing softly as,in a warm summer evening.,llama3.2
176,I was standing by the window when,watching a stormy night outside.,llama3.2
177,She reached for her glasses and,put them on to read the fine print.,llama3.2
178,He was buttoning his shirt when,when suddenly he heard a knock at the door.,llama3.2
179,The birds were chirping as,as they prepared for their morning flight.,llama3.2
180,I was writing a message when,"I received the input. Here's my completion:

...the phone rang loudly in my ear",llama3.2
181,She was flipping through the channels when,when she stumbled upon an old homecoming video.,llama3.2
182,He was about to send the email when,his phone rang loudly.,llama3.2
183,The bus was approaching the stop when,when suddenly a pedestrian stepped into its path.,llama3.2
184,I had just sat down to dinner when,when my sister burst into tears.,llama3.2
185,She was putting on her makeup when,when she received an unexpected phone call.,llama3.2
186,He opened his notebook and,found a crucial clue to solving the mystery.,llama3.2
187,The breeze was cool as,on a summer day.,llama3.2
188,I was adjusting the thermostat when,when suddenly my air conditioner stopped working.,llama3.2
189,She was organizing her closet when,when she stumbled upon an old trunk.,llama3.2
190,He picked up the pen and,and began to sign his name.,llama3.2
191,I was standing in line when,waiting for over an hour.,llama3.2
192,She was walking toward the building when,when she saw her old high school friend standing on the rooftop.,llama3.2
193,The moon was shining brightly as,in a full lunar eclipse.,llama3.2
194,I was just about to fall asleep when,when my phone rang loudly.,llama3.2
195,She opened her laptop and,found a thousand unread emails.,llama3.2
196,He was reading the instructions when,when suddenly his phone rang.,llama3.2
197,The clouds were gathering as,darkness began to fall.,llama3.2
198,I was on my way to the appointment when,I arrived at a red light.,llama3.2
199,She was unlocking the front door when,when she heard a strange noise coming from inside.,llama3.2
200,He was finishing up his report when,when suddenly his boss walked into the room.,llama3.2
201,The sky was turning dark as,as a storm cloud gathered on the horizon.,llama3.2
202,I was about to leave the office when,my phone rang for what felt like an eternity.,llama3.2
203,She was searching for her keys when,when she realized they were still in the car.,llama3.2
204,He stepped out of the elevator and,into a world that had changed forever.,llama3.2
205,The waves lapped against the shore as,the sun began to set.,llama3.2
206,I was waiting for the bus when,when suddenly a strong gust of wind blew my hat off.,llama3.2
207,She was reviewing her notes when,when she realized she had forgotten to study for the exam.,llama3.2
208,He was packing his bag when,realizing he had forgotten his passport.,llama3.2
209,The snow was falling gently as,from the sky.,llama3.2
210,I was looking out the window when,at a strange figure walking down my street.,llama3.2
211,She was getting ready for bed when,when she heard a strange noise outside.,llama3.2
212,He was checking his watch when,he realized he had been standing there for hours.,llama3.2
213,The smell of freshly baked bread filled the air as,with warm aromas wafted from the oven.,llama3.2
214,I was sipping my coffee when,when suddenly I received an unexpected phone call.,llama3.2
215,She was flipping through a magazine when,when she stumbled upon an old photograph.,llama3.2
216,He was just about to finish when,his phone rang loudly.,llama3.2
217,The clock was ticking loudly as,as time ran out for her.,llama3.2
218,I was browsing the internet when,when my laptop suddenly shut down.,llama3.2
219,She was putting on her shoes when,was getting ready for work.,llama3.2
220,The sun was setting slowly as,over the vast expanse of the ocean.,llama3.2
221,I was waiting for my turn when,when everyone else had finished speaking.,llama3.2
222,She was about to answer the phone when,when she heard a strange noise coming from outside.,llama3.2
223,He had just locked the door when,when he heard a strange noise coming from outside.,llama3.2
224,The streetlights flickered as,the storm approached.,llama3.2
225,I was getting dressed when,when my phone rang nonstop.,llama3.2
226,She was opening her mail when,when she found a surprise package from an old friend.,llama3.2
227,He was writing a letter when,to his estranged father.,llama3.2
228,The sound of laughter filled the room as,...everyone let loose and had a great time.,llama3.2
229,I was reading the instructions when,I couldn't understand what happened.,llama3.2
230,She was looking through her emails when,when she stumbled upon a suspicious transaction.,llama3.2
231,He was putting his things away when,when suddenly he heard a strange noise coming from outside.,llama3.2
232,The stars twinkled in the sky as,like diamonds scattered across velvet.,llama3.2
233,I was about to grab a snack when,when my phone rang loudly.,llama3.2
234,She was zipping up her bag when,her phone rang loudly.,llama3.2
235,He was flipping through the pages of the book when,when he stumbled upon a familiar name.,llama3.2
236,The car slowed down as,down to a crawl.,llama3.2
237,I was going through my paperwork when,when suddenly a mysterious letter arrived.,llama3.2
238,She was just about to leave when,when her phone rang.,llama3.2
239,He was talking on the phone when,...he received a surprise visit from his estranged father.,llama3.2
240,The lights dimmed as,the movie's climax approached.,llama3.2
241,I was checking my messages when,when suddenly I received a call from an unknown number.,llama3.2
242,She was about to send the text when,her phone died suddenly.,llama3.2
243,"He reached for the remote control, but",it had already been taken by his sister.,llama3.2
244,The wind was howling as,like a pack of wolves.,llama3.2
245,I was organizing my files when,when suddenly I found a missing document from last year.,llama3.2
246,She was stirring her tea when,when she heard a strange noise outside.,llama3.2
247,He had just finished his breakfast when,when he received an unexpected phone call.,llama3.2
248,The rain was pouring down as,on my car roof.,llama3.2
249,I was going through my notes when,when I stumbled upon a crucial piece of information.,llama3.2
250,She was typing an email when,the phone rang loudly in her ear.,llama3.2
251,He looked at the calendar and,thought about taking a vacation.,llama3.2
252,The sun was high in the sky as,...the temperature soared to record-breaking levels.,llama3.2
253,I was getting ready to leave when,when my phone started ringing nonstop.,llama3.2
254,She was buckling her seatbelt when,the plane suddenly hit turbulence.,llama3.2
255,He was reaching for his coffee when,the cup suddenly fell off the table.,llama3.2
256,The clouds were parting as,to reveal a breathtaking rainbow.,llama3.2
257,I was just about to call when,my phone rang.,llama3.2
258,She was writing something down when,on her phone suddenly started ringing.,llama3.2
259,He had just stepped outside when,when a strong gust of wind hit his face.,llama3.2
260,The phone rang just as,as I was about to leave for work.,llama3.2
261,I was putting away the groceries when,when my daughter suddenly appeared in front of me.,llama3.2
262,She was hanging up the phone when,when she received a mysterious text message.,llama3.2
263,He was about to say something when,he suddenly remembered his dentist appointment.,llama3.2
264,The breeze was gentle as,as a summer morning.,llama3.2
265,I was running errands when,when suddenly I received a call from my best friend.,llama3.2
266,She was just about to close the door when,when she heard her name being called.,llama3.2
267,He was drinking his coffee when,was suddenly interrupted by his phone.,llama3.2
268,The computer screen flickered as,and then went black suddenly.,llama3.2
269,I was picking out an outfit when,for a night at the formal gala.,llama3.2
270,She was standing in the hallway when,waiting for her bus to arrive.,llama3.2
271,He was trying to remember something when,his childhood memories started flooding back.,llama3.2
272,The moonlight illuminated the path as,leading us to a secret garden.,llama3.2
273,I was just about to walk in when,when my phone rang.,llama3.2
274,She was adjusting her scarf when,when she realized she had forgotten her lunch at home.,llama3.2
275,He had just started cooking when,the fire alarm suddenly went off.,llama3.2
276,The leaves rustled as,the wind whispered through them.,llama3.2
277,I was finishing my homework when,when suddenly my phone rang.,llama3.2
278,She was putting away her books when,was suddenly interrupted by a loud noise.,llama3.2
279,He was walking toward the exit when,when suddenly he heard a loud noise.,llama3.2
280,The birds were singing as,in perfect harmony.,llama3.2
281,I was standing by the door when,waiting for someone to arrive.,llama3.2
282,She was fastening her seatbelt when,the plane suddenly hit turbulence.,llama3.2
283,He was making a cup of tea when,was suddenly interrupted by his phone.,llama3.2
284,The wind blew softly as,through the trees.,llama3.2
285,I was reaching for my phone when,the battery died suddenly.,llama3.2
286,She was sorting through the papers when,when she stumbled upon an old letter from her past.,llama3.2
287,He was lacing up his shoes when,his phone rang loudly.,llama3.2
288,The rain started to pour as,as quickly as possible.,llama3.2
289,I was stepping outside when,when suddenly a strong gust of wind blew.,llama3.2
290,She was sipping her tea when,when she received an unexpected phone call.,llama3.2
291,He was gazing out the window when,at a figure from his past walked up to him.,llama3.2
292,The light was fading as,fast as I could leave.,llama3.2
293,I was unlocking the door when,when I heard a strange noise coming from inside.,llama3.2
294,She was folding the laundry when,when she received an unexpected phone call.,llama3.2
295,He was writing down the address when,the mailman arrived at his doorstep.,llama3.2
296,The clouds were heavy as,with rain.,llama3.2
297,I was packing up my things when,when I realized I had forgotten my keys at home.,llama3.2
298,She was placing her order when,when she realized they were out of her favorite dessert.,llama3.2
299,He was checking his pockets when,for his phone.,llama3.2
300,The music was fading as,out of tune.,llama3.2
301,I was dusting the shelves when,when suddenly a loud noise made me jump.,llama3.2
302,She was zipping up her suitcase when,her phone rang suddenly.,llama3.2
303,He was reaching for the light switch when,he suddenly felt a strong electric shock.,llama3.2
304,The car engine roared to life as,as soon as I turned the key.,llama3.2
305,I was standing in the kitchen when,when I heard a strange noise coming from downstairs.,llama3.2
306,She was preparing her lunch when,when she received an unexpected phone call.,llama3.2
307,He was locking the car when,the keys were still in his pocket.,llama3.2
